Starting OpenPose demo...
Configuring OpenPose...
Starting thread(s)...
Auto-detecting all available GPUs... Detected 1 GPU(s), using 1 of them starting at GPU 0.
321.817841 272.876282 0.945420 
304.117493 300.208923 0.804117 
304.168274 302.203796 0.919999 
304.219635 335.498749 0.862708 
335.491852 335.460052 0.803357 
302.187683 296.300232 0.747072 
306.114410 333.525055 0.526139 
333.586975 333.500549 0.650344 
288.384857 362.945251 0.798142 
288.404236 364.863525 0.850325 
319.925995 411.854736 0.844505 
294.356262 460.823792 0.804021 
286.540161 362.904938 0.718959 
317.865692 411.880676 0.775799 
294.422150 458.974030 0.684681 
319.742035 270.885010 0.899037 
321.832245 270.805847 0.195368 
306.035339 274.771729 0.957159 
0.000000 0.000000 0.000000 
321.883026 472.610809 0.414143 
319.867920 464.833557 0.366039 
288.424622 460.916565 0.341163 
319.774200 474.637726 0.727446 
310.058380 476.468353 0.726073 
288.453735 462.862061 0.813113 
 
325.736328 272.867523 0.918568 
306.137604 302.130402 0.817573 
306.166901 302.244659 0.926624 
317.813293 335.402374 0.848063 
343.375977 323.756317 0.828909 
306.077332 298.311981 0.743876 
317.836884 333.489349 0.479213 
341.418304 323.778961 0.593002 
298.262909 364.830170 0.766330 
294.333954 364.902466 0.845895 
325.723541 413.849854 0.878586 
304.087616 460.820648 0.861329 
302.189423 362.941650 0.755286 
333.485016 409.956177 0.771943 
304.104736 455.042084 0.735938 
321.757751 270.870087 0.924917 
325.761139 270.867920 0.214092 
308.087341 274.767181 0.939180 
0.000000 0.000000 0.000000 
327.674957 466.804199 0.390423 
321.882874 462.890045 0.369408 
290.555054 458.921814 0.370206 
321.862244 472.685944 0.788291 
317.876129 474.584961 0.785343 
292.439880 462.828400 0.799261 
 
325.751373 272.833496 0.913684 
306.189117 302.137970 0.821144 
306.183716 302.240051 0.912682 
325.683197 333.533600 0.836776 
351.218292 313.984283 0.811388 
306.169952 300.200958 0.725707 
327.678497 331.564178 0.546461 
351.194946 315.927917 0.698643 
304.157501 366.787689 0.862649 
300.239319 366.872437 0.868065 
335.446472 413.889557 0.873090 
306.108551 460.813354 0.830349 
306.186432 364.906616 0.801987 
337.463715 411.836975 0.782152 
306.215027 453.094177 0.729414 
321.793579 270.829529 0.916481 
327.688995 270.851074 0.230548 
308.102570 274.714508 0.928139 
0.000000 0.000000 0.000000 
333.534424 472.591949 0.432625 
329.597382 464.805054 0.382393 
300.272583 455.013794 0.370907 
325.755402 474.553986 0.709130 
319.899200 474.587585 0.734923 
300.206055 462.783234 0.736466 
 
325.743134 272.796295 0.898847 
306.216614 302.122894 0.846787 
312.017700 304.044647 0.887615 
337.488678 323.765930 0.901402 
353.118042 300.281738 0.864959 
304.207947 298.295410 0.761368 
333.544434 319.869659 0.510884 
349.254913 302.213684 0.527182 
306.119812 366.868347 0.829179 
306.143463 366.920563 0.892504 
341.363312 413.854889 0.864379 
308.102905 458.926910 0.819741 
306.098175 366.839233 0.742136 
335.513519 413.793701 0.773130 
310.014191 457.000305 0.706606 
321.779419 270.779358 0.903691 
329.604858 270.797577 0.222183 
308.064758 272.896210 0.933752 
0.000000 0.000000 0.000000 
335.497742 472.620514 0.372920 
333.494659 464.813965 0.320218 
304.109772 458.878235 0.357428 
327.713013 474.573608 0.732982 
321.810638 474.576874 0.786557 
302.237488 460.918854 0.803257 
 
323.739471 272.714783 0.919646 
306.228882 296.332672 0.821257 
310.087036 296.352539 0.844225 
341.422089 317.795197 0.793329 
351.111206 288.523895 0.849746 
306.058716 294.402557 0.777223 
335.539429 315.899506 0.482817 
345.272858 290.390594 0.455093 
308.137665 366.753082 0.779003 
308.076019 366.806946 0.867894 
339.503601 413.890259 0.876565 
308.085052 458.948212 0.827407 
310.063660 364.915436 0.730964 
337.439880 413.772766 0.787663 
308.156525 456.958282 0.697292 
319.883911 266.977844 0.898124 
325.728210 266.918793 0.156727 
306.170441 272.832916 0.945812 
0.000000 0.000000 0.000000 
335.477356 472.602509 0.367679 
333.496582 464.809113 0.318936 
304.080322 456.980164 0.354311 
329.602570 474.602814 0.746632 
321.801056 474.602661 0.797604 
302.210846 460.926575 0.805152 
 
319.889862 261.098175 0.885274 
306.178986 290.392761 0.878158 
308.111145 290.404358 0.889647 
345.330658 304.117676 0.847783 
341.362610 274.720001 0.859101 
306.086639 288.563721 0.824041 
335.545258 304.148010 0.481826 
335.577484 274.840302 0.571160 
313.973785 360.946167 0.747922 
310.061615 362.921234 0.800624 
337.564423 413.786560 0.866527 
308.145416 458.936035 0.805888 
317.860748 358.999146 0.740079 
337.534821 411.852844 0.775143 
308.067902 453.089325 0.722848 
315.939972 259.165100 0.866079 
321.817078 257.254028 0.078563 
304.243195 268.891357 0.885342 
0.000000 0.000000 0.000000 
331.570007 470.684113 0.307338 
327.688904 464.781342 0.269290 
302.149597 456.938263 0.400778 
331.552887 474.573242 0.742508 
321.833344 474.570221 0.782510 
304.102356 460.932343 0.790854 
 
319.906250 257.180725 0.857989 
306.199005 282.589447 0.812318 
311.972565 280.646240 0.821691 
349.249725 288.541443 0.862231 
337.535980 259.176208 0.819585 
304.219635 282.618713 0.767406 
339.429504 290.428406 0.521258 
335.536682 264.949402 0.598440 
315.878082 351.255493 0.784339 
315.893463 353.103302 0.836534 
339.391724 406.069122 0.806238 
310.032867 456.963684 0.768496 
313.980591 351.222412 0.744015 
335.544586 404.057465 0.782141 
308.095673 454.997833 0.692262 
317.864807 255.166077 0.801391 
0.000000 0.000000 0.000000 
306.173767 259.076447 0.899970 
0.000000 0.000000 0.000000 
335.502869 472.621765 0.344662 
331.619202 464.788086 0.280023 
302.170227 458.886475 0.387556 
331.558899 474.562012 0.686532 
323.741394 472.675415 0.719659 
304.135468 460.875854 0.784520 
 
319.746552 247.402084 0.621185 
306.195099 272.862671 0.858053 
311.986511 272.839661 0.863266 
349.251740 274.707825 0.864511 
335.567322 247.389420 0.757477 
304.178955 272.893494 0.807657 
341.406281 274.805115 0.559808 
335.441650 255.133820 0.554699 
317.885529 347.260742 0.764204 
317.875397 349.194153 0.809922 
333.589447 400.270050 0.823867 
308.110260 460.807098 0.769567 
317.876434 345.310272 0.695143 
335.425262 400.146790 0.775202 
306.231628 454.993652 0.691300 
313.983215 245.398712 0.647052 
321.864014 243.455994 0.129177 
306.098511 253.245193 0.823612 
0.000000 0.000000 0.000000 
335.443756 468.753296 0.352123 
331.558594 462.912445 0.293233 
298.321625 460.803833 0.412421 
333.508301 474.609406 0.705604 
325.693634 474.611847 0.704640 
304.088104 462.883240 0.772966 
 
319.765198 243.391693 0.832510 
308.064209 263.019623 0.799348 
313.932861 261.072418 0.834037 
349.264374 259.030090 0.863414 
335.492493 229.710678 0.827310 
306.087219 263.057983 0.755512 
341.397125 259.183594 0.534462 
335.586029 239.458496 0.572596 
319.847168 335.582733 0.824120 
319.824585 337.430695 0.849121 
331.581573 398.124695 0.836152 
312.031830 458.910034 0.790986 
319.873383 335.551727 0.732587 
333.546844 396.221405 0.744963 
311.995880 449.180634 0.679963 
313.951660 241.504669 0.798118 
319.871552 241.365097 0.187884 
306.039429 245.374802 0.862176 
0.000000 0.000000 0.000000 
335.441772 464.777557 0.288391 
333.529449 460.916199 0.267058 
304.152863 458.907104 0.367699 
335.450226 472.678375 0.726880 
325.697327 472.673248 0.724271 
306.072357 462.848175 0.797526 
 
319.791779 235.606110 0.890055 
306.183838 257.190369 0.837595 
308.096924 257.162811 0.864772 
347.254578 243.410172 0.883687 
337.447998 212.117554 0.900202 
306.108765 257.195221 0.746241 
337.495880 243.482437 0.333025 
337.412964 221.895660 0.286051 
319.849426 329.600220 0.757665 
319.849792 331.555908 0.789280 
327.657990 388.395477 0.786618 
315.873322 451.097412 0.745616 
319.863220 327.652832 0.670513 
329.611542 388.427704 0.636009 
311.974426 447.271515 0.607983 
312.018127 233.624130 0.846594 
319.866760 231.667313 0.433533 
304.061340 241.372391 0.909501 
0.000000 0.000000 0.000000 
329.637421 464.849396 0.259675 
331.563354 462.818939 0.241032 
304.163788 456.940887 0.366072 
333.508057 470.718262 0.671561 
321.851685 468.734253 0.672133 
306.172699 458.940369 0.738190 
 
315.927094 229.715164 0.868072 
306.080658 253.255524 0.836110 
308.097626 253.198471 0.803078 
341.437622 229.702789 0.829309 
341.388672 184.682373 0.722625 
304.127686 255.179565 0.758523 
337.447662 235.570129 0.419215 
345.282257 190.555725 0.237282 
319.733948 321.847290 0.784637 
319.809326 321.878662 0.787307 
323.816406 382.610748 0.835396 
315.928864 447.124634 0.766879 
317.840607 321.826080 0.714521 
325.759155 384.417145 0.662533 
312.016205 445.187866 0.596923 
308.069855 227.795349 0.938660 
317.850037 227.724319 0.464135 
300.245056 235.561996 0.837309 
0.000000 0.000000 0.000000 
327.677307 462.804169 0.299418 
329.636322 460.823730 0.274561 
306.061096 447.229584 0.363391 
331.575409 464.858521 0.700866 
319.910095 462.935028 0.695797 
308.084320 451.098663 0.688752 
 
315.909882 225.749207 0.879538 
306.193665 245.395081 0.854700 
304.200928 245.445435 0.852959 
337.425690 221.838181 0.813994 
353.242615 176.806641 0.776689 
313.938873 243.523834 0.756970 
337.481476 223.823639 0.322608 
353.161987 180.711914 0.179191 
321.733032 319.754639 0.804851 
319.772461 319.823853 0.814415 
323.820343 378.633545 0.793063 
319.754181 443.240326 0.777330 
323.745056 317.884033 0.724470 
329.666412 380.498444 0.649777 
319.790375 441.312439 0.616909 
308.073425 223.873993 0.894679 
315.898743 223.846954 0.339606 
300.249359 227.780243 0.874780 
0.000000 0.000000 0.000000 
337.441193 460.801880 0.351279 
335.553314 455.002228 0.321967 
308.081696 445.236725 0.351564 
335.574768 460.913635 0.694105 
325.737762 460.864441 0.657773 
310.047150 447.150787 0.719704 
 
313.926239 225.694092 0.846694 
306.113770 243.379822 0.908703 
306.097076 243.489014 0.839334 
335.540253 214.100418 0.794167 
351.106720 184.711258 0.754992 
306.110107 241.527115 0.772296 
333.552612 223.838852 0.439712 
349.209473 196.383224 0.370407 
319.806732 315.893463 0.764306 
319.735474 317.828064 0.772442 
323.826080 372.762573 0.789515 
319.843658 439.311768 0.777209 
319.890106 313.946655 0.698610 
329.617462 372.777527 0.626768 
319.824677 435.457001 0.653607 
306.213806 223.786514 0.893762 
313.955933 221.843796 0.355720 
300.227966 225.871918 0.910970 
0.000000 0.000000 0.000000 
339.463501 456.982361 0.346589 
337.528931 449.155609 0.329651 
310.032379 445.106781 0.344256 
339.494019 458.942657 0.716470 
335.433899 458.951996 0.684982 
313.935272 445.236908 0.719190 
 
317.851776 221.840927 0.847771 
306.140961 241.547363 0.880949 
306.206085 241.536530 0.862968 
335.548218 216.014862 0.843926 
351.113617 182.746078 0.791453 
306.077850 243.401505 0.760550 
335.415894 225.721680 0.325581 
351.146667 194.498642 0.266187 
319.784607 310.041473 0.777450 
319.752777 310.081329 0.770000 
323.785400 370.816040 0.821206 
321.755249 435.460571 0.805989 
319.832611 310.019348 0.717361 
327.688934 370.814972 0.667016 
319.908661 433.482025 0.726184 
308.140900 217.981735 0.857633 
317.916718 216.051849 0.300833 
302.171112 225.766495 0.942879 
0.000000 0.000000 0.000000 
343.373688 453.035767 0.351985 
341.414825 447.181183 0.343676 
310.078674 443.188385 0.374844 
347.236877 456.993286 0.757296 
337.425446 458.864471 0.745588 
317.833374 445.183441 0.740741 
 
319.752319 217.988129 0.881052 
306.170471 241.483932 0.879431 
308.096161 241.501038 0.861203 
337.384155 221.875732 0.847093 
351.079285 194.468216 0.882106 
304.220001 241.537888 0.790572 
335.408356 227.710922 0.422730 
351.076843 202.310837 0.268939 
317.872559 310.032562 0.759546 
319.801483 310.026550 0.778555 
323.775452 370.810669 0.799007 
321.800476 433.497742 0.787430 
313.993683 310.029541 0.691280 
323.787933 370.815948 0.598414 
321.845978 433.471191 0.594984 
310.061218 216.006271 0.858915 
319.769012 214.035156 0.295011 
304.094208 225.723892 0.958907 
0.000000 0.000000 0.000000 
349.216705 451.076019 0.319916 
345.297821 447.137054 0.279441 
317.846252 443.238556 0.303913 
347.289490 453.031494 0.621373 
337.537048 453.058472 0.618922 
317.898102 443.282684 0.724268 
 
319.724182 221.858582 0.890182 
306.181854 241.558807 0.869001 
306.177734 243.365891 0.889634 
337.404663 223.835480 0.864513 
351.072571 196.430618 0.835306 
306.089447 243.377487 0.780337 
335.442932 227.798126 0.403502 
345.317841 210.198578 0.384787 
317.877808 310.032379 0.741041 
319.748901 310.038208 0.768000 
323.785767 370.771027 0.793418 
323.733673 435.420258 0.759458 
315.944214 308.157013 0.695941 
323.779510 368.887451 0.585996 
