Starting OpenPose demo...
Configuring OpenPose...
Starting thread(s)...
Auto-detecting all available GPUs... Detected 1 GPU(s), using 1 of them starting at GPU 0.
525.602478 239.534225 0.925767 
492.181213 292.462891 0.799406 
478.594482 288.542297 0.854622 
549.070496 359.042969 0.737251 
603.934021 319.733276 0.795798 
498.114288 298.275085 0.689252 
545.173828 353.087067 0.617867 
592.182861 304.109558 0.762002 
445.153320 443.210602 0.732446 
417.804199 445.155487 0.686302 
394.306213 560.822876 0.801400 
263.008331 576.453003 0.711522 
466.758301 441.284210 0.683303 
533.364624 507.819824 0.849436 
513.837463 635.252686 0.771682 
517.678589 229.705551 0.884928 
523.510376 229.784546 0.102974 
490.230896 241.518860 0.917981 
0.000000 0.000000 0.000000 
562.755005 664.626526 0.790938 
560.838440 654.826538 0.728512 
502.026733 649.003479 0.754372 
241.384689 619.660278 0.775880 
233.617783 613.709106 0.647856 
257.075623 566.678650 0.593489 
 
523.629944 239.543793 0.942200 
488.310852 290.540680 0.792661 
478.460175 288.501740 0.861789 
543.237366 353.240417 0.784392 
603.842041 317.802063 0.816231 
494.307037 294.395844 0.723405 
541.295837 351.174896 0.652198 
588.228455 300.252197 0.793937 
441.291168 437.368469 0.689673 
415.861511 439.311462 0.674468 
384.463470 558.869934 0.862711 
257.180817 576.450684 0.728441 
462.831299 437.386261 0.682147 
527.518738 507.842651 0.874330 
513.814819 635.298767 0.770974 
511.851379 229.696304 0.907944 
521.590881 229.787750 0.109805 
486.345337 241.453018 0.900593 
0.000000 0.000000 0.000000 
562.767090 664.629211 0.797449 
560.837769 654.835266 0.734151 
502.022736 650.890015 0.759086 
229.746841 619.570374 0.718883 
225.825592 609.809570 0.640875 
247.328217 566.661560 0.556654 
 
521.659485 239.508545 0.908936 
482.471436 290.464203 0.807380 
476.520996 288.424622 0.848924 
541.153015 349.247742 0.814488 
588.248840 292.375488 0.712438 
494.208771 294.372925 0.714466 
545.142029 359.005646 0.668122 
598.027710 312.034302 0.722494 
437.367828 439.350006 0.692347 
413.889984 443.221771 0.698345 
380.520477 556.924988 0.853686 
247.354309 574.522156 0.719047 
460.940643 437.378479 0.696937 
525.575073 507.839661 0.911636 
511.864990 637.215332 0.762728 
509.874237 227.842285 0.969048 
519.679199 229.674271 0.117154 
480.500427 241.374908 0.920096 
0.000000 0.000000 0.000000 
560.856506 664.602417 0.799397 
558.882690 652.957642 0.735724 
498.126709 650.989319 0.747361 
221.907532 619.601196 0.740973 
214.086807 611.747314 0.624884 
241.408463 564.725647 0.567960 
 
517.683838 235.580276 0.834061 
478.557587 288.485992 0.857764 
474.532623 284.589935 0.806294 
535.325928 343.346252 0.756425 
586.261536 294.379272 0.699484 
488.343384 290.418793 0.723404 
541.169250 355.074066 0.703720 
598.041565 306.177521 0.745246 
431.597473 437.414124 0.704964 
411.896088 441.320282 0.667246 
368.898193 555.004272 0.882093 
243.397751 572.543213 0.763057 
458.911133 435.422668 0.676062 
523.664673 505.972260 0.901252 
511.818604 637.217346 0.772015 
507.869202 227.690948 0.973659 
511.828827 227.663910 0.130003 
476.647400 239.515640 0.934812 
0.000000 0.000000 0.000000 
560.789612 664.638794 0.795298 
558.850281 654.848694 0.724568 
498.086914 650.981689 0.747231 
212.125671 619.564941 0.715814 
208.186157 611.718750 0.596917 
233.618195 560.840210 0.535515 
 
517.684937 235.574936 0.833181 
478.560394 288.486786 0.857056 
474.532440 284.583618 0.806029 
535.320679 343.340668 0.757231 
586.256653 294.363007 0.702185 
488.352631 290.423706 0.722130 
541.166687 355.080383 0.705818 
598.040894 306.180634 0.744269 
431.602875 437.401031 0.706105 
411.902802 441.298309 0.667561 
368.908051 554.997437 0.882667 
243.388809 572.542725 0.763999 
458.914825 435.419617 0.677234 
523.662048 505.970886 0.900366 
511.819580 637.213318 0.770518 
507.866943 227.686752 0.974118 
511.835541 227.658234 0.132618 
476.646820 239.517227 0.934186 
0.000000 0.000000 0.000000 
558.924988 664.635742 0.795855 
558.843750 654.848083 0.726223 
498.086639 650.982178 0.744561 
212.120758 619.566162 0.725515 
208.181427 611.721863 0.606045 
233.609879 560.835876 0.539920 
 
513.768799 233.633926 0.845747 
476.647369 288.387756 0.842782 
470.709717 284.530762 0.790365 
529.458435 343.330627 0.712620 
576.526672 292.412628 0.593234 
484.385101 288.483093 0.741622 
535.340515 353.101715 0.665111 
586.264160 304.134766 0.680249 
429.576263 433.504211 0.736429 
406.029846 435.438354 0.653917 
366.764343 554.865479 0.864740 
229.747864 572.617004 0.746911 
451.122528 433.460358 0.671306 
521.666077 507.817535 0.864290 
511.839355 637.203674 0.763235 
505.914673 225.840530 0.934840 
509.935760 225.789261 0.139762 
474.638489 235.621735 0.863893 
0.000000 0.000000 0.000000 
560.782593 664.669617 0.785437 
558.837097 654.883118 0.710835 
498.134399 650.977295 0.739502 
208.200943 619.618652 0.725045 
200.327484 613.667725 0.604011 
221.903687 564.716858 0.558175 
 
509.921295 229.747665 0.908461 
474.625244 286.450989 0.773058 
464.843475 280.673187 0.783073 
525.615234 347.267883 0.762072 
572.532959 294.415741 0.655589 
480.468994 286.516479 0.745895 
527.568176 353.114685 0.670149 
582.376465 304.096497 0.629696 
429.540802 431.572662 0.753254 
404.113098 433.462982 0.674539 
355.094391 549.022644 0.812889 
227.705124 570.622009 0.775060 
451.071777 431.555939 0.692430 
515.771973 507.928986 0.851833 
511.802338 637.241455 0.781221 
502.004364 225.745865 0.895269 
507.992065 225.684967 0.244449 
472.638794 231.696442 0.853928 
0.000000 0.000000 0.000000 
558.900574 664.664368 0.803414 
558.848450 654.872253 0.730502 
498.128693 651.010864 0.736997 
202.316833 619.588013 0.726968 
194.505005 611.748657 0.641015 
215.994232 558.826599 0.579818 
 
507.938202 227.836288 0.951243 
470.671478 284.575989 0.719552 
462.931335 278.715240 0.810134 
523.541382 349.247070 0.794135 
558.879211 290.382538 0.786223 
476.612305 286.534607 0.723864 
525.641418 353.122467 0.780341 
580.379028 306.081665 0.765790 
427.583649 431.559784 0.735295 
402.137085 433.469421 0.686897 
351.248108 541.310120 0.874712 
225.729004 570.616455 0.785113 
447.209045 431.538177 0.723894 
509.901825 507.857788 0.900143 
509.958069 635.326416 0.786277 
496.168854 223.812988 0.898810 
505.959564 223.762344 0.139030 
468.717834 229.727127 0.865324 
0.000000 0.000000 0.000000 
558.885742 664.660339 0.773372 
558.876221 654.855957 0.700156 
498.106262 650.966003 0.729506 
198.396591 619.552002 0.691659 
194.395309 609.789795 0.599730 
212.105927 560.800110 0.585925 
 
505.985352 227.680176 0.935231 
464.819397 278.732819 0.714118 
462.817749 276.750763 0.830521 
511.890961 343.321564 0.776670 
554.842773 290.433441 0.868285 
474.578064 282.623779 0.647193 
523.544373 353.145813 0.761437 
572.612183 308.149139 0.801549 
419.785065 431.551147 0.711574 
398.262726 433.446106 0.690788 
349.220123 541.142883 0.870643 
219.909943 570.606262 0.749178 
445.163818 431.530792 0.702003 
507.922424 507.911835 0.907428 
509.923340 635.280579 0.791406 
494.180206 219.938614 0.897972 
505.914673 219.933212 0.222021 
462.951660 227.793045 0.939062 
0.000000 0.000000 0.000000 
558.903748 664.588135 0.752320 
558.884033 652.942932 0.687371 
498.114319 650.938049 0.721912 
196.490326 619.519897 0.710173 
192.430283 607.866394 0.601189 
208.180267 558.895020 0.579881 
 
505.990967 227.681519 0.935742 
464.826202 278.734222 0.712163 
462.818268 276.749329 0.830005 
511.886780 341.437775 0.777997 
554.843201 290.433655 0.868633 
474.587585 282.623016 0.647875 
523.548584 353.148834 0.760398 
572.612671 308.147308 0.801690 
419.775818 431.543243 0.714529 
398.261780 431.589539 0.692768 
349.218811 541.140564 0.870898 
219.917252 570.608337 0.751742 
445.153870 431.525970 0.703226 
507.925049 507.906555 0.908067 
509.923645 635.276550 0.790994 
494.187439 219.935532 0.897179 
505.916718 219.926666 0.214334 
462.955902 227.793152 0.937667 
0.000000 0.000000 0.000000 
558.898254 664.586609 0.750174 
558.880310 652.940796 0.686252 
498.114624 650.933411 0.719002 
196.483765 619.528870 0.704281 
192.432388 609.757812 0.596137 
208.192917 560.772949 0.580177 
 
502.059204 225.770828 0.899289 
462.854767 276.778473 0.771932 
460.793182 274.819855 0.843178 
507.928558 343.379120 0.807981 
549.055176 290.478241 0.827838 
472.624573 282.603424 0.668638 
515.719910 353.093506 0.762940 
568.678650 310.074524 0.765713 
415.927643 429.583466 0.734688 
396.247437 429.576019 0.685198 
339.457794 539.158081 0.832271 
212.056702 570.547913 0.770229 
441.331146 429.595734 0.703725 
501.997070 509.798187 0.821547 
509.894409 635.260620 0.791591 
492.208374 214.104446 0.918801 
503.946106 216.007187 0.215422 
462.798920 225.849091 0.980415 
0.000000 0.000000 0.000000 
556.972534 662.656738 0.740098 
558.822632 651.018555 0.706761 
496.222992 650.954346 0.697441 
196.397461 619.615784 0.752690 
188.547897 613.695251 0.598736 
196.467941 558.855408 0.621748 
 
498.120697 225.709808 0.893044 
460.946045 274.814850 0.805465 
456.960541 274.755737 0.821979 
500.109436 349.208832 0.777942 
541.325256 294.348480 0.759328 
464.891632 274.848114 0.741846 
507.827698 351.125153 0.711103 
558.870239 308.105316 0.730092 
413.907135 429.518555 0.751696 
390.389282 429.514099 0.669490 
337.432648 535.354980 0.845904 
210.028595 570.572449 0.778172 
435.411377 429.529755 0.692347 
494.191650 509.846313 0.882344 
509.908936 635.291199 0.792495 
490.271912 214.022278 0.913666 
496.208008 214.122040 0.165933 
460.855377 225.741928 0.957200 
0.000000 0.000000 0.000000 
560.782227 660.760376 0.720901 
560.796326 650.995422 0.691698 
498.143890 651.008545 0.686924 
196.434341 619.643799 0.753655 
188.543549 615.604248 0.612128 
194.419708 560.810852 0.629762 
 
496.193146 223.790909 0.878165 
460.845886 274.707245 0.769995 
451.123291 272.785065 0.815603 
492.281250 345.326111 0.800803 
541.137146 302.142242 0.776524 
464.785339 274.774414 0.737566 
496.177917 351.117432 0.723111 
554.933228 308.065094 0.748601 
411.933960 423.679749 0.685020 
386.468048 423.657928 0.643779 
335.480713 527.544922 0.847543 
208.123001 570.545288 0.756944 
431.579376 425.599701 0.663558 
490.237152 509.823608 0.846531 
509.867737 635.210876 0.796136 
488.274902 212.116989 0.902643 
494.239990 212.110794 0.216338 
456.931244 223.839783 0.876347 
0.000000 0.000000 0.000000 
558.886108 656.806885 0.715584 
560.782410 650.865234 0.709658 
498.159241 650.983643 0.689653 
196.407608 619.604797 0.763100 
186.613174 613.677551 0.614041 
192.505035 560.794128 0.601985 
 
494.213257 216.012344 0.900447 
456.999847 272.768219 0.726137 
449.181000 270.864624 0.810145 
488.328308 349.227600 0.809906 
541.155334 304.153534 0.672464 
460.968109 272.810028 0.722134 
492.245667 351.100555 0.559827 
541.247742 306.095947 0.724839 
406.044006 425.603699 0.665363 
382.525208 425.596222 0.655368 
335.519287 525.531311 0.876851 
202.322113 570.545349 0.720399 
429.617157 425.633728 0.680942 
480.462646 507.954529 0.866668 
508.002045 633.272766 0.800519 
482.419128 210.153748 0.922539 
492.235168 210.083878 0.250230 
454.999634 219.925629 0.842821 
0.000000 0.000000 0.000000 
556.905151 650.882446 0.779795 
556.885620 645.045715 0.696848 
498.084076 650.889587 0.696008 
196.472366 619.639893 0.773073 
186.636856 615.641846 0.620084 
188.559296 560.803589 0.601493 
 
494.211212 216.014984 0.900009 
456.997589 272.770508 0.727120 
449.181488 270.869659 0.810276 
488.333313 349.218567 0.807390 
541.159973 304.153534 0.674775 
460.967163 272.812103 0.724442 
492.246063 351.097534 0.564460 
541.257874 306.091278 0.722322 
406.045563 425.604706 0.666571 
382.526825 425.593323 0.656640 
335.518707 525.533691 0.876959 
204.218475 570.542542 0.720062 
429.617096 425.636353 0.681923 
480.463562 507.957397 0.867088 
509.782593 633.279846 0.802402 
482.417603 210.155212 0.922844 
492.227203 210.082016 0.243398 
454.995453 219.929672 0.843473 
0.000000 0.000000 0.000000 
556.920288 650.886536 0.780425 
556.900513 645.047119 0.695837 
498.091919 650.892090 0.698286 
196.465118 619.646790 0.773126 
186.631165 615.649048 0.619535 
188.569031 560.810669 0.602281 
 
492.309174 214.040207 0.920865 
453.053253 272.723083 0.738824 
447.161377 270.822113 0.830253 
480.498840 349.252594 0.830722 
539.257446 306.053741 0.721961 
460.900604 272.790771 0.752581 
488.351532 351.110474 0.561854 
539.331238 306.201355 0.693140 
402.121216 423.651215 0.691118 
382.445953 419.746338 0.656365 
333.556458 525.482605 0.862530 
200.376495 570.537170 0.715495 
427.585419 427.542175 0.686128 
476.484436 509.864685 0.863391 
