Starting OpenPose demo...
Configuring OpenPose...
Starting thread(s)...
Auto-detecting all available GPUs... Detected 1 GPU(s), using 1 of them starting at GPU 0.
635.283142 225.873978 0.944184 
588.235474 261.144379 0.838649 
601.978210 264.953644 0.841930 
656.830994 329.646393 0.783177 
699.977417 296.309052 0.674781 
574.581543 259.197052 0.771348 
623.494507 329.635101 0.659132 
648.984375 333.545898 0.120277 
533.384583 398.261108 0.697348 
523.660828 400.160309 0.731626 
525.612610 509.901093 0.857455 
447.220825 617.672058 0.851285 
541.250610 398.260223 0.650392 
588.172607 478.573181 0.844039 
590.269592 603.959167 0.776319 
631.375549 217.934158 0.863425 
0.000000 0.000000 0.000000 
605.893127 223.841309 0.890885 
0.000000 0.000000 0.000000 
637.234314 609.822754 0.741525 
635.259460 603.943298 0.763366 
586.183655 621.519714 0.757215 
494.149078 641.117676 0.753601 
478.535278 645.039307 0.761734 
431.568115 621.622925 0.830050 
 
637.278076 225.803116 0.918062 
592.130127 263.014893 0.775777 
603.931641 263.060913 0.837008 
658.794189 331.545502 0.787593 
701.915771 296.317474 0.607725 
582.380432 259.192963 0.761349 
629.404846 333.500061 0.662814 
696.048828 302.170929 0.720082 
537.258240 398.185852 0.723119 
525.542053 398.222656 0.736410 
529.484009 509.827484 0.826069 
447.223358 617.527771 0.824972 
543.191895 398.196075 0.657698 
588.228516 478.492065 0.825311 
601.866150 603.920471 0.793906 
633.315552 214.115601 0.897907 
0.000000 0.000000 0.000000 
607.839722 223.768570 0.860656 
0.000000 0.000000 0.000000 
646.982361 605.884705 0.769309 
643.055359 601.990784 0.744734 
588.322021 619.682861 0.710013 
494.199677 641.138245 0.737398 
478.558655 645.032776 0.723437 
431.529205 619.655029 0.844707 
 
639.207703 223.880280 0.880449 
592.168091 262.990265 0.783696 
605.892456 263.070221 0.819452 
658.759583 331.595398 0.789335 
701.876343 296.365173 0.655922 
580.390869 259.153351 0.773025 
625.474243 331.554810 0.652422 
649.001831 335.429321 0.112907 
537.308655 398.134064 0.671575 
527.553955 398.247620 0.677472 
533.388489 509.835876 0.824166 
447.237823 613.669312 0.792706 
543.167542 396.251495 0.539298 
588.208740 478.506714 0.802772 
604.000793 601.978455 0.781645 
633.362732 212.186554 0.933600 
0.000000 0.000000 0.000000 
609.784668 219.946396 0.841026 
0.000000 0.000000 0.000000 
650.978088 603.893982 0.742328 
648.995056 600.003906 0.694374 
600.018799 619.601318 0.729483 
492.288147 641.119080 0.739199 
476.611450 643.068970 0.699868 
431.516663 617.679016 0.848847 
 
639.210815 223.866089 0.877936 
592.162109 262.993561 0.785452 
605.904785 263.077087 0.815884 
658.751221 331.596130 0.788079 
701.883057 296.364227 0.649291 
580.374084 259.153931 0.772774 
625.435120 329.657990 0.650189 
649.008728 333.578003 0.107400 
537.314636 398.144073 0.674760 
527.560852 398.260437 0.677172 
533.391357 509.833954 0.824490 
447.236420 613.671021 0.792421 
543.173462 396.259796 0.538559 
588.214478 478.542969 0.799343 
603.999023 601.978333 0.781788 
633.359985 212.172516 0.940073 
0.000000 0.000000 0.000000 
609.784668 219.929123 0.839916 
0.000000 0.000000 0.000000 
650.959839 603.892883 0.744277 
648.977783 600.003235 0.696465 
600.018494 619.600464 0.729613 
492.287048 641.118286 0.738504 
476.609924 643.068970 0.699406 
431.515839 617.680420 0.848049 
 
645.025146 223.828094 0.868520 
596.072388 261.080505 0.800241 
609.829285 262.998016 0.802053 
658.750732 333.509430 0.800720 
703.817261 298.278076 0.616481 
582.320190 259.125427 0.763150 
623.499695 327.671082 0.640815 
647.030701 337.403320 0.180321 
539.183838 392.354309 0.663877 
535.334167 398.160126 0.664939 
537.284729 507.995239 0.846359 
449.189362 607.858459 0.764036 
541.193481 390.354645 0.489506 
588.299988 480.462921 0.799557 
613.665588 601.983032 0.762749 
635.272278 212.128311 0.943597 
0.000000 0.000000 0.000000 
615.597900 217.954453 0.856831 
0.000000 0.000000 0.000000 
658.748108 601.963196 0.724047 
652.950012 596.106567 0.666181 
603.929871 619.601990 0.711269 
494.161224 645.015869 0.722426 
478.504425 645.046509 0.673012 
431.599792 615.668213 0.780717 
 
646.945007 223.787048 0.868398 
598.036438 261.040619 0.813531 
613.665039 261.113983 0.814233 
656.792114 333.546692 0.809657 
705.753967 302.195587 0.659329 
584.258118 259.110260 0.774767 
627.440308 331.621887 0.648938 
649.028198 337.463501 0.161412 
541.168640 390.397430 0.660700 
539.209229 396.232758 0.659730 
541.150513 507.967743 0.872088 
453.049042 603.980347 0.775284 
545.144836 390.363586 0.490079 
592.162048 480.476349 0.768779 
617.700989 601.885071 0.794551 
635.336853 212.115372 0.929262 
0.000000 0.000000 0.000000 
615.656189 216.012421 0.881050 
0.000000 0.000000 0.000000 
666.581726 598.049133 0.696757 
664.569458 592.124512 0.666284 
613.723633 619.541443 0.658782 
494.191772 639.218567 0.746765 
478.587067 641.120789 0.677274 
433.493164 611.714722 0.768238 
 
647.028687 223.799973 0.879491 
600.011230 261.035706 0.837900 
615.636230 261.063446 0.836135 
656.813843 333.575562 0.812452 
703.850220 304.105682 0.715986 
586.198792 259.126099 0.786350 
631.273132 335.479553 0.713745 
651.011353 335.561584 0.112393 
541.204346 396.217590 0.679888 
539.306030 400.112213 0.692661 
543.242004 507.952850 0.835250 
456.936035 603.872681 0.795112 
541.240723 390.396545 0.485156 
594.151062 478.538940 0.780948 
621.620605 601.907410 0.759616 
637.242554 212.086670 0.897986 
0.000000 0.000000 0.000000 
617.576782 214.078308 0.924966 
0.000000 0.000000 0.000000 
670.568054 592.169006 0.621177 
666.605835 588.292236 0.638220 
619.515320 619.567993 0.741294 
492.295959 639.176270 0.768054 
478.523041 639.173218 0.717299 
437.402832 607.803223 0.765655 
 
648.980896 219.893875 0.884214 
602.014954 259.185944 0.864634 
617.654724 261.032166 0.867798 
654.871582 335.528381 0.828829 
701.837280 304.232544 0.586299 
588.219055 259.099457 0.799581 
631.312683 335.476715 0.674124 
697.931519 306.115387 0.622202 
543.166748 394.262207 0.663988 
541.283630 398.208069 0.704634 
551.008789 507.868317 0.829584 
458.915253 601.901672 0.808131 
543.175903 388.425934 0.483031 
599.913696 478.457642 0.794953 
627.445618 601.912415 0.749758 
639.216675 212.013779 0.877999 
0.000000 0.000000 0.000000 
617.656128 214.065643 0.931323 
0.000000 0.000000 0.000000 
680.250793 590.252686 0.694627 
672.513733 588.239258 0.684545 
619.677368 619.550476 0.706319 
492.265869 639.184082 0.753359 
476.603027 637.256104 0.717844 
441.317657 603.886719 0.819206 
 
648.979187 219.917786 0.883126 
602.007629 259.190338 0.864380 
617.652771 261.036713 0.867279 
654.864868 335.528656 0.830563 
699.986450 304.235474 0.591943 
588.209351 259.103088 0.799118 
631.291687 335.470764 0.672683 
697.924011 306.117706 0.613401 
543.153931 394.278168 0.665151 
541.294983 398.229431 0.704473 
551.001343 507.872498 0.829508 
458.919281 601.895996 0.807829 
541.253235 388.415649 0.480718 
599.928711 476.645233 0.801431 
627.447876 601.904907 0.746732 
639.219177 212.027390 0.876762 
0.000000 0.000000 0.000000 
617.653625 214.064590 0.933760 
0.000000 0.000000 0.000000 
680.238342 590.266907 0.694915 
672.507690 588.246399 0.687798 
621.512695 619.554382 0.702372 
492.269379 639.194397 0.752509 
476.607178 637.263184 0.715080 
441.317780 603.880493 0.818631 
 
650.859436 216.040436 0.894609 
603.917053 259.135406 0.873772 
619.552979 261.064423 0.870084 
651.023804 337.429626 0.858602 
699.876221 306.117798 0.581252 
590.186401 259.022156 0.808491 
631.309998 337.392426 0.574521 
696.061646 306.146606 0.666290 
547.112244 388.450623 0.636817 
549.077637 396.241699 0.661141 
554.974304 507.860168 0.860306 
460.812134 598.052246 0.770257 
543.184265 384.516052 0.485371 
598.058350 480.456909 0.767281 
633.310181 601.942566 0.781147 
644.999939 210.168243 0.882117 
0.000000 0.000000 0.000000 
619.636902 214.104523 0.915545 
0.000000 0.000000 0.000000 
680.356689 590.167725 0.666150 
676.410706 588.193848 0.658074 
631.286072 619.660339 0.683662 
492.211609 637.243103 0.777190 
476.551758 635.288452 0.731318 
443.205719 600.024841 0.796980 
 
651.025269 216.030197 0.875503 
605.889526 259.194550 0.825941 
621.518799 261.098816 0.838101 
649.046875 337.568695 0.859528 
696.053162 306.184143 0.615831 
592.183838 259.061920 0.777844 
633.252258 337.426056 0.557461 
694.030151 306.204285 0.722662 
552.928894 388.410828 0.653575 
552.959656 394.258423 0.653769 
558.856873 507.852448 0.826732 
462.838623 592.185364 0.776808 
547.106140 384.548065 0.486198 
601.892700 488.280426 0.778054 
635.278198 601.878540 0.781481 
647.030273 210.163315 0.922042 
0.000000 0.000000 0.000000 
621.542969 214.075928 0.897768 
0.000000 0.000000 0.000000 
682.366028 588.331177 0.712144 
680.305664 588.173889 0.713971 
633.300293 619.560242 0.724658 
494.191162 637.257446 0.766521 
478.592896 635.274231 0.720572 
445.228058 594.156067 0.799272 
 
654.843262 217.998352 0.835740 
611.716431 261.073914 0.784656 
625.440735 263.020264 0.786672 
648.891968 341.383087 0.799208 
695.952820 311.990631 0.516262 
598.024963 259.087921 0.761247 
631.309448 337.541901 0.629521 
692.081604 310.089478 0.686157 
554.842590 388.383698 0.680650 
554.924866 394.272034 0.672953 
566.689636 507.829865 0.824511 
468.714508 588.290222 0.771571 
547.082764 384.485504 0.506970 
601.951111 480.501190 0.786459 
637.223938 601.967651 0.760659 
648.962646 211.998642 0.940878 
0.000000 0.000000 0.000000 
621.616028 214.113022 0.874132 
0.000000 0.000000 0.000000 
684.297119 590.210632 0.698505 
682.246216 588.222839 0.721910 
635.218018 619.663696 0.710230 
494.228485 637.216797 0.765763 
480.472137 633.365234 0.717014 
449.120422 590.226929 0.787762 
 
658.742493 221.868927 0.837057 
615.630371 261.118134 0.799784 
631.320984 264.998474 0.801719 
643.100891 343.359253 0.772514 
694.015381 315.938690 0.525158 
599.999573 259.133026 0.762708 
629.362915 339.406555 0.556395 
690.094299 317.851318 0.677841 
552.986755 386.488770 0.676429 
556.886841 392.341675 0.669676 
572.569214 507.843384 0.843272 
474.644928 586.355774 0.801999 
541.282104 384.452271 0.550702 
603.831482 480.468231 0.791659 
639.151306 602.001038 0.756793 
650.882019 212.074142 0.948702 
0.000000 0.000000 0.000000 
627.397217 215.998062 0.845863 
0.000000 0.000000 0.000000 
686.225098 590.246155 0.697269 
682.291687 588.251038 0.713058 
635.270996 621.527893 0.673176 
496.183929 637.190247 0.767929 
482.476532 633.350525 0.692294 
456.919586 588.236023 0.780411 
 
658.738525 221.873978 0.837292 
615.633179 261.117889 0.798242 
631.320129 264.999115 0.801010 
643.103394 343.363831 0.774090 
694.016357 315.927734 0.530195 
600.008301 259.134216 0.761753 
629.348816 339.405396 0.557519 
690.089355 317.845673 0.676628 
552.994263 386.505280 0.677728 
556.876709 394.254089 0.673961 
572.574341 507.838470 0.841185 
474.633453 586.360657 0.799928 
541.296936 384.462677 0.547852 
603.834045 478.609467 0.800165 
639.150269 602.003906 0.756621 
650.880676 212.075623 0.948065 
0.000000 0.000000 0.000000 
627.398682 215.998779 0.846103 
0.000000 0.000000 0.000000 
686.222839 590.249512 0.697990 
682.288757 588.255371 0.713398 
635.270081 621.529846 0.671746 
496.186371 637.193176 0.767007 
482.477417 633.350098 0.692050 
455.031860 588.253784 0.780748 
 
660.736389 221.855652 0.855088 
617.548401 263.007446 0.811700 
633.227600 266.906464 0.817630 
641.127808 343.376099 0.767310 
690.126282 319.758881 0.566467 
601.918213 259.172363 0.752882 
619.523071 343.369080 0.639920 
686.167236 321.811218 0.604853 
554.940063 390.348663 0.674896 
556.922546 396.186920 0.683618 
580.374451 505.911926 0.778695 
476.609802 586.362427 0.814226 
545.167664 386.430725 0.504272 
603.887390 486.360474 0.780190 
643.057861 603.893250 0.752432 
650.955261 212.076187 0.950896 
0.000000 0.000000 0.000000 
631.261841 216.031677 0.860642 
0.000000 0.000000 0.000000 
693.979797 592.167236 0.653875 
686.205872 588.322510 0.654332 
637.203430 621.582397 0.638844 
502.035278 635.315063 0.767668 
490.225250 633.334167 0.696424 
458.963837 588.211304 0.792335 
 
664.573364 219.948288 0.880896 
617.688538 263.041321 0.838010 
633.311890 266.965088 0.839175 
635.352783 347.218781 0.771149 
690.129639 321.735046 0.609051 
603.920044 259.195282 0.775371 
621.569397 349.151642 0.668443 
684.276733 323.817200 0.677315 
556.872681 388.388458 0.691669 
556.968811 392.321503 0.687506 
586.215332 503.976166 0.789479 
480.523743 586.238281 0.781058 
552.968262 386.455872 0.498295 
603.970886 488.300568 0.794361 
