Starting OpenPose demo...
Configuring OpenPose...
Starting thread(s)...
Auto-detecting all available GPUs... Detected 1 GPU(s), using 1 of them starting at GPU 0.
494.200989 455.049225 0.880934 
478.535797 472.651520 0.912838 
464.885437 464.797852 0.878280 
484.418518 474.604431 0.736763 
511.852325 458.906158 0.703390 
492.212280 478.471466 0.897177 
513.826416 492.158295 0.880060 
523.632446 460.978638 0.892132 
453.077789 539.249084 0.863288 
443.283844 537.272034 0.855686 
429.606781 580.396912 0.852386 
386.422882 621.619202 0.856221 
464.786987 541.177612 0.885875 
482.427338 582.336365 0.826676 
496.126678 625.478821 0.861260 
492.274384 449.115692 0.911910 
496.131714 449.220093 0.409566 
478.594269 449.111053 0.912956 
0.000000 0.000000 0.000000 
517.689331 637.253174 0.762472 
521.617371 633.350098 0.821436 
492.284943 633.326782 0.885933 
394.255829 637.260315 0.793171 
382.608368 635.250122 0.863504 
382.518707 625.457520 0.846957 
 
492.264008 449.165771 0.933297 
476.555969 470.721710 0.921825 
462.896820 462.940155 0.916895 
488.289124 468.715851 0.713424 
511.892273 449.111969 0.706913 
486.397675 476.603180 0.886309 
509.939240 486.354492 0.887918 
523.577454 460.813324 0.904468 
451.078644 537.300415 0.856807 
443.202484 533.369385 0.828575 
427.557770 578.411377 0.838540 
384.450134 621.614929 0.885956 
462.874939 539.271301 0.895814 
478.580627 582.329834 0.863117 
494.133881 625.462646 0.899344 
490.229828 447.112366 0.913099 
494.150757 447.253937 0.654258 
476.523132 447.212311 0.901934 
0.000000 0.000000 0.000000 
511.827026 637.183716 0.803445 
513.819397 633.285645 0.808218 
490.281189 633.269409 0.872341 
386.492035 637.297852 0.797546 
380.573639 635.288696 0.832048 
380.511078 625.487122 0.801681 
 
492.126465 447.275543 0.880580 
474.603699 470.656555 0.891508 
460.981537 462.859131 0.972980 
488.302155 464.808655 0.824025 
509.935303 445.294922 0.864304 
482.476227 476.563721 0.875068 
509.809570 484.390137 0.901816 
523.564636 458.972260 0.893190 
447.261414 539.214417 0.913476 
437.376221 537.245972 0.824362 
421.735260 580.404358 0.805471 
382.445221 623.473083 0.871923 
460.955566 541.152405 0.917756 
478.482452 584.245667 0.876190 
492.147675 627.411865 0.870506 
486.384949 445.285187 0.864036 
490.325867 447.153564 0.250604 
474.620880 447.153259 0.872836 
0.000000 0.000000 0.000000 
509.823853 635.282898 0.872162 
509.905334 633.227966 0.882324 
484.394531 633.341187 0.822417 
386.517395 641.158752 0.814830 
382.422974 637.265869 0.841741 
370.834076 625.442749 0.849220 
 
492.130524 447.278351 0.880793 
474.603394 470.656860 0.891319 
460.980499 462.858734 0.973067 
488.299774 464.812500 0.822518 
509.935822 445.298523 0.862775 
482.476135 476.564453 0.874961 
509.812561 484.394867 0.902105 
523.563416 458.972595 0.893151 
447.263092 539.214355 0.913311 
437.378906 537.246704 0.824700 
421.735229 580.404907 0.805384 
382.445038 623.474915 0.871592 
460.957184 541.151917 0.918088 
478.482697 584.245117 0.876320 
492.147919 627.408997 0.870520 
486.391846 445.287445 0.863860 
490.330170 447.155090 0.246726 
474.624847 447.155121 0.873347 
0.000000 0.000000 0.000000 
509.820190 635.281799 0.872564 
509.902771 633.226562 0.882974 
484.395203 633.337769 0.822326 
386.516510 641.160034 0.814694 
382.420654 637.266663 0.840377 
370.834167 625.445374 0.848787 
 
486.343170 447.297974 0.837586 
472.666412 472.604523 0.876571 
460.890015 462.895538 0.971009 
482.496490 462.924683 0.857086 
511.837860 445.213562 0.814870 
482.423004 476.621674 0.867095 
507.920380 482.466705 0.899664 
521.619690 460.781158 0.853523 
445.234375 537.325928 0.918213 
431.572449 533.384399 0.838433 
423.676331 576.519104 0.813013 
380.605682 621.608582 0.861253 
458.865295 539.323608 0.873003 
476.613037 580.374878 0.863926 
484.391510 625.429993 0.841540 
480.486237 445.306885 0.901994 
488.319153 447.148285 0.533390 
468.754913 447.169037 0.844483 
0.000000 0.000000 0.000000 
505.990082 635.250671 0.806630 
507.892334 633.213318 0.835314 
478.539948 633.250427 0.894067 
386.491119 641.156189 0.806850 
380.576965 637.264343 0.821528 
370.779388 625.424377 0.840668 
 
482.452667 449.192596 0.816763 
466.817474 472.657471 0.873077 
458.899017 462.929260 0.902239 
478.638977 462.770966 0.912416 
509.838013 435.414734 0.816816 
480.458588 478.451874 0.862198 
505.980194 482.417877 0.842221 
519.639954 449.179169 0.765522 
443.259644 539.174194 0.879750 
429.608368 533.408508 0.853917 
421.735626 576.525452 0.815058 
378.588379 625.436279 0.817274 
453.082245 541.143494 0.851150 
476.504181 580.364258 0.854353 
476.614258 625.467957 0.904464 
478.566895 447.176910 0.918862 
484.432770 447.215485 0.466885 
466.741180 447.273102 0.843875 
0.000000 0.000000 0.000000 
496.174164 635.341370 0.759413 
496.187958 633.282043 0.780719 
472.598328 633.183289 0.818671 
386.472076 645.077759 0.843029 
380.560333 641.163818 0.814726 
368.794891 627.427979 0.867670 
 
478.642914 449.130188 0.883923 
462.951721 470.683075 0.901517 
451.143341 462.938568 0.877233 
476.479950 464.877899 0.823151 
498.160675 445.241608 0.807085 
478.472076 476.597076 0.884595 
502.016510 482.431885 0.821640 
509.902710 456.995117 0.830200 
439.322632 539.226501 0.859557 
429.456055 537.252197 0.860437 
415.918060 584.260742 0.870279 
374.701355 629.401428 0.825736 
449.123901 541.146057 0.873165 
476.486694 578.411865 0.875483 
472.617676 623.549133 0.824851 
478.470917 447.128387 0.912940 
482.444916 447.218781 0.495451 
464.774536 447.203430 0.896342 
0.000000 0.000000 0.000000 
494.137848 637.196533 0.778017 
492.320068 633.328430 0.804115 
462.867065 631.316040 0.823107 
386.529114 648.891296 0.888673 
380.603973 646.972900 0.846334 
366.917603 631.352844 0.903059 
 
476.607056 447.241669 0.922541 
460.953766 468.708466 0.923442 
447.162048 462.922363 0.938113 
464.786255 476.613800 0.857694 
492.207092 449.169830 0.761591 
476.486938 476.494019 0.902176 
494.259308 486.380157 0.889234 
507.898621 456.958160 0.827526 
433.505554 539.331482 0.891637 
425.652985 539.222534 0.866867 
413.955444 586.194702 0.905476 
372.708038 633.261597 0.886845 
447.123810 541.216003 0.890202 
476.442993 580.409485 0.870303 
462.827118 621.624146 0.924597 
474.572021 445.262848 0.885648 
478.536346 447.118347 0.550247 
460.947845 447.183228 0.904805 
0.000000 0.000000 0.000000 
484.406128 635.353943 0.779179 
484.378540 633.328674 0.768600 
457.000519 627.419312 0.811868 
384.588776 649.048584 0.922463 
378.629883 648.956299 0.854150 
366.835052 633.347473 0.925720 
 
476.608429 447.241333 0.921915 
460.955566 468.712585 0.923526 
447.161133 462.926056 0.937462 
464.792908 476.615326 0.859595 
492.210052 449.158783 0.768565 
476.490662 476.496002 0.902838 
494.268707 486.384552 0.885917 
507.895691 456.956146 0.824723 
433.504608 539.330017 0.892215 
425.652069 539.221008 0.866693 
413.956268 586.194580 0.905451 
372.707489 633.261414 0.886946 
447.123444 541.215698 0.890519 
476.443085 580.409729 0.870359 
462.827637 621.624390 0.924416 
474.572906 445.263306 0.885460 
478.538544 447.118622 0.543997 
460.946747 447.185822 0.903975 
0.000000 0.000000 0.000000 
484.406158 635.353638 0.778889 
484.378448 633.328491 0.768230 
457.001526 627.419189 0.812076 
384.590149 649.049805 0.922094 
378.630676 648.957458 0.854514 
366.834534 633.347656 0.925659 
 
476.467773 447.262909 0.813589 
460.796021 468.723236 0.882301 
445.296295 462.915253 0.951536 
462.804901 478.554535 0.887047 
478.595642 456.998840 0.792210 
470.704437 476.503265 0.832464 
494.133514 490.235962 0.941098 
500.102386 460.830505 0.811146 
431.512787 539.277771 0.945410 
419.767670 539.150085 0.841043 
413.885742 586.199402 0.919111 
372.716553 633.365723 0.888765 
445.185364 541.190002 0.900382 
474.551636 582.394958 0.874423 
458.873901 621.556274 0.884008 
470.682587 445.238617 0.812962 
478.482574 447.151672 0.467764 
458.966248 447.159119 0.884684 
0.000000 0.000000 0.000000 
476.572113 637.231079 0.859491 
476.578400 633.381775 0.870538 
447.236969 623.543945 0.806194 
384.602692 651.011475 0.899904 
378.603699 650.922058 0.848121 
366.837219 635.238525 0.876063 
 
470.684753 449.139709 0.753732 
456.994080 472.642487 0.858907 
445.140442 462.964111 0.928573 
451.106384 488.312836 0.813576 
474.571411 462.793060 0.818100 
466.784363 476.591888 0.849184 
492.148529 494.178040 0.946351 
494.277161 462.956268 0.881532 
429.581146 541.137268 0.948349 
415.946411 539.256470 0.891817 
411.921600 588.211243 0.894617 
368.926636 637.263245 0.879250 
443.192810 541.251526 0.859357 
470.723816 582.326660 0.850689 
447.170197 619.701050 0.963989 
464.833954 447.112793 0.843454 
474.566315 447.195709 0.556097 
456.934631 447.191437 0.830666 
0.000000 0.000000 0.000000 
466.759583 637.222351 0.813775 
466.740356 635.184265 0.793934 
441.264069 623.520996 0.801507 
384.554108 658.742554 0.867716 
376.662476 654.896362 0.802816 
364.871490 641.154358 0.831017 
 
466.776001 449.120300 0.776543 
453.087830 474.628540 0.870313 
441.275299 466.761719 0.847665 
447.099274 492.164856 0.939749 
464.783081 466.747253 0.829813 
466.752136 478.529633 0.866844 
480.528137 498.149048 0.859539 
492.134033 472.649170 0.834806 
427.615723 541.187378 0.896127 
415.772552 539.284424 0.902808 
409.944031 590.259155 0.836435 
366.943451 643.125916 0.875151 
437.392365 541.298584 0.834042 
468.766418 582.323608 0.839432 
443.183228 619.578796 0.928241 
462.889404 445.309540 0.874494 
470.677429 447.149017 0.553701 
449.213684 447.217896 0.850478 
0.000000 0.000000 0.000000 
458.976501 637.216187 0.842033 
458.960297 635.201660 0.828174 
431.522949 619.689819 0.825919 
384.496796 660.753601 0.858144 
374.693085 660.740601 0.793047 
357.099548 647.021851 0.786419 
 
460.884033 453.069916 0.816738 
447.250061 476.513550 0.920947 
433.489990 472.658936 0.881347 
441.280518 496.150787 0.834804 
462.815338 474.618927 0.819495 
462.816223 478.486542 0.876319 
478.456818 505.937531 0.928142 
482.413208 476.505951 0.826486 
423.664429 541.144287 0.866819 
413.820648 539.278809 0.893440 
407.957886 592.195251 0.810053 
364.913086 648.893127 0.879948 
431.616547 541.220459 0.883449 
466.767487 580.407593 0.845257 
431.584747 619.595764 0.932586 
457.006927 447.262329 0.841874 
462.819519 449.113312 0.747369 
445.291626 449.162415 0.842982 
466.760284 453.076294 0.057713 
447.262878 643.062317 0.836064 
447.273651 637.184387 0.815993 
425.573730 621.506470 0.740366 
382.617767 662.626160 0.848115 
372.778778 662.677368 0.809610 
353.148560 650.854675 0.839405 
 
460.877686 453.090302 0.815669 
447.241821 476.515259 0.922262 
433.487701 472.664246 0.882470 
441.288422 496.158722 0.835089 
462.826508 474.617340 0.822459 
462.802643 478.485718 0.874997 
478.454712 505.934753 0.927161 
482.412354 476.503235 0.825631 
423.664246 541.153015 0.866973 
413.818420 539.289307 0.893504 
407.956787 592.198242 0.809570 
364.912720 648.893433 0.879810 
431.618683 541.226440 0.882680 
466.778381 580.409119 0.843743 
431.584839 619.593628 0.933553 
457.002411 447.272339 0.842259 
462.816040 449.128143 0.750412 
445.289429 449.164215 0.846562 
466.748596 453.077484 0.058031 
447.264221 643.057373 0.836017 
447.273376 637.180847 0.816199 
425.582520 619.702332 0.740095 
384.406219 662.624146 0.848726 
372.780579 662.678345 0.810298 
353.148010 650.855469 0.839061 
 
460.829407 458.926636 0.866995 
447.099823 478.447144 0.953152 
431.459381 476.481354 0.958024 
431.500305 505.922211 0.902415 
458.956451 478.611115 0.856133 
460.908752 478.629517 0.876213 
474.542572 509.878326 0.886856 
478.491943 486.369812 0.841317 
419.728149 543.154297 0.850867 
411.855865 541.251953 0.857568 
406.009033 598.038269 0.803121 
364.902832 648.996216 0.890846 
431.509155 543.205627 0.869891 
464.806244 584.263123 0.882047 
429.460083 619.535461 0.953254 
455.016144 451.130463 0.809226 
462.782135 453.037415 0.822759 
445.150543 453.097809 0.804170 
0.000000 0.000000 0.000000 
441.291351 645.008789 0.790650 
443.251221 637.270691 0.806078 
415.887543 619.629272 0.798227 
382.502899 662.722717 0.830236 
370.800476 664.558167 0.821791 
353.166656 650.966553 0.857591 
 
460.795868 460.920044 0.894278 
445.108093 478.524017 0.918304 
429.575592 476.538147 0.970930 
427.602875 507.856659 0.903785 
457.005890 482.456757 0.825591 
456.958130 480.549896 0.815138 
462.925934 513.836792 0.860404 
476.499023 492.260529 0.892330 
415.863800 543.229736 0.894901 
406.033417 543.171570 0.830361 
406.020630 599.945618 0.820796 
364.854736 650.889282 0.882886 
429.508026 545.123169 0.875512 
460.957520 586.174438 0.938366 
