Starting OpenPose demo...
Configuring OpenPose...
Starting thread(s)...
Auto-detecting all available GPUs... Detected 1 GPU(s), using 1 of them starting at GPU 0.
715.630371 398.284332 0.912185 
695.921631 429.529755 0.845641 
696.013428 429.582916 0.949356 
713.740540 464.870575 0.874158 
745.040344 447.231781 0.682840 
693.973938 429.508789 0.786333 
715.638367 460.961578 0.747445 
745.017578 447.196991 0.749714 
674.457397 500.088715 0.723585 
676.348816 503.956940 0.770310 
697.924011 554.905151 0.898769 
680.270813 617.625305 0.832737 
676.376831 498.152527 0.669702 
698.063110 552.974060 0.804215 
682.384033 615.635803 0.781914 
713.565369 396.255951 0.911433 
717.563110 398.079834 0.080008 
698.046875 400.118164 0.921480 
0.000000 0.000000 0.000000 
713.549866 621.524841 0.744782 
709.710815 619.502991 0.670431 
674.432861 619.614868 0.347311 
709.645386 625.470093 0.689614 
699.874390 631.285400 0.670966 
668.623474 623.494263 0.769273 
 
715.630310 398.284149 0.912135 
695.921509 429.529572 0.845547 
696.013794 429.582733 0.949437 
713.743164 464.871277 0.873787 
745.042664 447.231720 0.684122 
693.973328 429.508423 0.786218 
715.637390 460.959167 0.744606 
745.016968 447.194794 0.748468 
674.462097 500.093018 0.723383 
676.353027 503.961456 0.771288 
697.924255 554.906799 0.898958 
680.270508 617.625732 0.832576 
676.380371 498.156433 0.669371 
698.061951 552.976379 0.805124 
682.383728 615.635376 0.781542 
713.565369 396.255646 0.911519 
717.564941 398.079895 0.080043 
698.046997 400.117920 0.921486 
0.000000 0.000000 0.000000 
713.549988 621.523315 0.744520 
709.710571 619.501587 0.669818 
674.431946 619.614136 0.346898 
709.646118 625.470032 0.689566 
699.875488 631.286011 0.670914 
668.622925 623.495056 0.769400 
 
713.721680 400.079742 0.934925 
695.916382 429.519104 0.832721 
695.990112 429.558960 0.945336 
717.540405 462.958984 0.850699 
747.001099 447.170837 0.669675 
694.006042 429.488525 0.777858 
715.643372 460.954895 0.659765 
746.900696 447.148468 0.704628 
678.296143 498.135406 0.737981 
676.379028 500.075256 0.759691 
697.957642 554.926697 0.901285 
680.272949 617.601318 0.849024 
678.393066 498.087524 0.705449 
701.880615 551.021973 0.770069 
684.259338 613.735352 0.769944 
711.683167 398.098328 0.917333 
713.739075 398.113586 0.106525 
697.936035 400.157288 0.923693 
0.000000 0.000000 0.000000 
713.557434 621.508789 0.780832 
709.740723 617.698059 0.710727 
676.427185 619.551636 0.336530 
709.638733 625.484985 0.684437 
698.028320 631.298889 0.672214 
668.633545 621.620911 0.782949 
 
713.687256 398.270905 0.936598 
695.948242 429.538940 0.847538 
696.001221 429.581543 0.953349 
717.546387 462.933105 0.837905 
746.951294 447.132355 0.642801 
695.893860 429.531189 0.801072 
717.547729 462.781250 0.697857 
746.897583 447.096802 0.744559 
680.240417 500.049713 0.755598 
678.308044 502.014832 0.762297 
698.057800 554.934265 0.885706 
680.283447 617.582153 0.867854 
680.358337 498.117432 0.709403 
705.787781 552.893677 0.795622 
686.198669 613.670837 0.770258 
711.644592 396.255463 0.902288 
713.619202 398.158752 0.078865 
697.899658 400.125610 0.931422 
0.000000 0.000000 0.000000 
713.599060 619.660278 0.817919 
711.617188 617.658325 0.748424 
680.303711 617.699829 0.344146 
709.636047 627.390137 0.692303 
698.021790 631.303467 0.686937 
668.637573 621.581360 0.805724 
 
713.577087 398.150757 0.914219 
695.940063 429.556885 0.845704 
695.976379 429.602753 0.939182 
717.575500 462.829865 0.839116 
744.905334 441.308411 0.569252 
694.040283 429.565460 0.802408 
717.584106 462.815613 0.775025 
744.934204 443.273926 0.795985 
680.227417 504.025024 0.766101 
680.222900 505.945282 0.811324 
701.882263 554.987793 0.852211 
680.313293 617.581604 0.864813 
680.262207 503.973083 0.677235 
707.747742 552.993774 0.829716 
686.233826 613.671936 0.761922 
709.665100 394.270355 0.810854 
713.615112 394.303711 0.142400 
695.948242 400.096191 0.902683 
0.000000 0.000000 0.000000 
713.623108 619.672791 0.802937 
711.629639 617.683533 0.729084 
680.345886 617.680237 0.334197 
709.648987 627.381226 0.686280 
699.895630 631.276794 0.676947 
670.507812 621.548584 0.808275 
 
711.723816 396.258850 0.873644 
695.919006 429.506012 0.824274 
695.987305 429.591095 0.952561 
721.447205 462.790771 0.862101 
743.081726 431.608856 0.756052 
693.994019 429.476624 0.764885 
717.557861 460.928802 0.588528 
743.029663 439.315277 0.599869 
680.303162 504.017548 0.758443 
680.241272 505.956604 0.805478 
705.752258 556.876099 0.844164 
680.306335 617.584778 0.862833 
680.367004 503.948364 0.675794 
709.634766 554.893860 0.826777 
686.164185 613.734985 0.764790 
707.728516 392.322906 0.773713 
0.000000 0.000000 0.000000 
695.971985 398.285217 0.904205 
0.000000 0.000000 0.000000 
713.601624 619.678833 0.806783 
711.595398 617.689880 0.727758 
680.275757 617.707520 0.326548 
707.765503 627.379700 0.669783 
699.888550 631.270996 0.662312 
670.514465 621.535767 0.802067 
 
711.724670 396.258606 0.873048 
695.920288 429.505920 0.824352 
695.987488 429.591217 0.952498 
721.444824 462.789703 0.862191 
743.081299 431.609100 0.756726 
693.995911 429.476776 0.764609 
717.557861 460.927002 0.587886 
743.027710 439.313873 0.597929 
680.304749 504.016296 0.758719 
680.242188 505.955383 0.805680 
705.752319 556.875488 0.844433 
680.306580 617.585083 0.863112 
680.367859 502.068939 0.675903 
709.635132 554.893188 0.827189 
686.163635 613.734558 0.765227 
707.729675 392.322052 0.773365 
0.000000 0.000000 0.000000 
695.972778 398.284424 0.903985 
0.000000 0.000000 0.000000 
713.600220 619.677917 0.806425 
711.594360 617.689026 0.727054 
680.274902 617.707886 0.326795 
707.765076 627.379272 0.670610 
699.887878 631.271484 0.663722 
670.514893 621.536316 0.802466 
 
711.625000 398.179291 0.877988 
695.909058 429.476471 0.834931 
696.041016 429.566010 0.959720 
727.269165 458.880768 0.868105 
741.051697 427.579529 0.776712 
690.132690 429.437164 0.757955 
721.425537 451.143158 0.485699 
741.005432 427.524933 0.515930 
680.379395 504.010437 0.781273 
680.336609 505.977875 0.828666 
709.647583 556.857544 0.870685 
680.386414 617.557068 0.846495 
682.237427 502.026306 0.687834 
711.621887 554.850037 0.840507 
684.311951 613.689819 0.748720 
703.836487 396.167328 0.788237 
711.600342 396.251160 0.067114 
694.046265 400.148621 0.889980 
0.000000 0.000000 0.000000 
713.656677 619.647400 0.758034 
711.636536 617.665466 0.673422 
678.371643 617.673035 0.324012 
709.708984 625.452515 0.690837 
701.847778 629.381958 0.661320 
672.466675 619.693176 0.786525 
 
709.679321 398.149414 0.886957 
694.051941 429.449005 0.821461 
696.016968 429.528259 0.953763 
729.221924 449.150787 0.907927 
737.159180 415.889221 0.840197 
688.164612 427.596710 0.748057 
715.586060 445.259003 0.427215 
731.221558 417.785706 0.510952 
682.300659 505.943665 0.767163 
682.306519 507.838226 0.816755 
711.626648 556.837219 0.876302 
682.193115 617.596741 0.812932 
682.310120 504.016785 0.672138 
711.742493 554.922791 0.876954 
684.295593 615.604187 0.757330 
699.954895 394.286469 0.827354 
709.649902 396.202637 0.106419 
692.081360 400.143738 0.868802 
0.000000 0.000000 0.000000 
713.641663 621.511841 0.757749 
711.620300 619.515991 0.678279 
678.331909 619.529663 0.339811 
709.682312 625.494324 0.652228 
701.836243 631.259399 0.629640 
672.493164 621.529907 0.743348 
 
707.720642 398.093353 0.848868 
695.900085 427.572876 0.836399 
697.868103 427.586548 0.910165 
731.281616 439.327850 0.846948 
731.235168 404.070953 0.833119 
688.179382 427.566162 0.749217 
725.364014 441.261627 0.457913 
729.322266 411.917145 0.582300 
684.218323 507.865601 0.784536 
684.230835 507.927124 0.824586 
713.537537 556.839844 0.880742 
682.319336 617.576233 0.799270 
684.246460 505.988037 0.693833 
713.648193 554.948486 0.859222 
684.299988 615.615173 0.734624 
698.047913 394.290070 0.840221 
705.763184 394.252106 0.164605 
692.051758 400.196411 0.844240 
0.000000 0.000000 0.000000 
713.692261 621.537598 0.657630 
711.682251 619.547729 0.589385 
676.384521 619.519348 0.337082 
711.636658 627.383057 0.686658 
703.840942 629.402832 0.661815 
676.384338 621.512939 0.741896 
 
707.764160 398.108124 0.859799 
695.994324 425.591827 0.832605 
698.003967 423.679077 0.872674 
737.156982 431.476868 0.874029 
729.300720 400.122345 0.873144 
692.050537 427.510925 0.744029 
729.256470 431.519897 0.513059 
727.348511 400.219696 0.507647 
684.300903 505.963287 0.756162 
686.190857 507.852692 0.801834 
713.597595 556.871887 0.889211 
682.370789 617.555481 0.799557 
686.183167 504.029816 0.681967 
715.545410 554.958191 0.816826 
686.195862 613.727417 0.703407 
699.919861 394.304047 0.833631 
709.686218 390.350800 0.215597 
692.096741 400.192566 0.867169 
0.000000 0.000000 0.000000 
713.692322 619.676819 0.627573 
711.704590 619.517090 0.560283 
676.427979 617.662415 0.318225 
711.699280 625.481506 0.718502 
705.776733 629.394592 0.685320 
678.283752 619.663635 0.764965 
 
707.763184 398.108063 0.859432 
695.993652 425.592163 0.833240 
698.003479 423.678101 0.872423 
737.162903 431.478943 0.874179 
729.301208 400.121460 0.875331 
692.047607 427.513519 0.745128 
729.257874 431.518280 0.520100 
727.345886 400.219116 0.510321 
684.304016 505.965088 0.756665 
686.196777 507.853546 0.801853 
713.602600 556.867615 0.891797 
682.373169 617.555603 0.802179 
686.190002 505.886292 0.682594 
715.549683 554.956482 0.817420 
686.207947 613.724243 0.704486 
699.919617 394.303131 0.833079 
709.684631 390.352173 0.213071 
692.097595 400.190308 0.867350 
0.000000 0.000000 0.000000 
713.693298 619.674011 0.631884 
711.707031 619.514709 0.564612 
678.316528 617.660706 0.317542 
711.703369 625.481201 0.722178 
705.773254 629.396729 0.688915 
678.285767 619.664673 0.770296 
 
699.962708 390.391418 0.623333 
696.001221 419.769531 0.787646 
697.966614 417.826691 0.887957 
739.064514 417.810211 0.818654 
719.520996 386.503998 0.800572 
693.971313 419.747742 0.694979 
729.288208 419.783356 0.339889 
715.642761 388.408112 0.390443 
686.189941 503.982758 0.728686 
688.127930 505.929749 0.776183 
713.626953 556.873474 0.888843 
684.226562 617.544617 0.775027 
686.183777 502.005096 0.676378 
715.629333 554.929993 0.802966 
686.237610 615.589233 0.679599 
697.975586 388.401062 0.692827 
0.000000 0.000000 0.000000 
694.020142 398.216156 0.786928 
0.000000 0.000000 0.000000 
713.711182 619.655701 0.607869 
711.725769 619.504272 0.539248 
678.339355 617.673401 0.321517 
711.719482 625.487915 0.706740 
705.796509 629.396851 0.678384 
678.344177 619.644775 0.766888 
 
697.929565 390.396149 0.837239 
695.969910 417.856659 0.790071 
697.905212 415.904388 0.939492 
737.151184 413.924957 0.869863 
715.599915 384.414703 0.869857 
690.142334 419.756866 0.665803 
729.283142 413.926422 0.288097 
715.553406 384.509460 0.311309 
688.133240 502.069611 0.720422 
690.115967 505.898529 0.762110 
713.602722 556.902832 0.899623 
684.203430 617.576721 0.802671 
686.220337 500.063690 0.689357 
715.624390 554.948059 0.813603 
688.181519 613.740417 0.688337 
694.054993 388.425659 0.815661 
699.959717 384.575928 0.427493 
682.380981 398.285919 0.823136 
0.000000 0.000000 0.000000 
715.565796 619.635498 0.639605 
713.559387 617.693298 0.568636 
680.277222 617.668579 0.304242 
711.719482 625.497925 0.721950 
705.790405 631.257080 0.695910 
678.318176 619.683716 0.781780 
 
697.868286 386.503967 0.854021 
696.055115 415.758118 0.797583 
696.069214 413.879211 0.904449 
737.140503 402.142456 0.772314 
711.710144 380.500854 0.819799 
695.942688 415.832428 0.641513 
729.272095 407.981018 0.382043 
713.585571 378.578278 0.374053 
695.936096 496.207458 0.728126 
695.963013 498.108826 0.765928 
711.747986 556.844604 0.883755 
684.214966 617.539246 0.770969 
695.912720 496.160767 0.669474 
713.650513 554.943909 0.846682 
690.113220 613.739807 0.706913 
693.980591 386.428040 0.828222 
697.951904 382.589661 0.425737 
684.203674 398.121399 0.830097 
0.000000 0.000000 0.000000 
715.612183 619.663818 0.652883 
713.602356 617.705078 0.594337 
680.330200 619.491943 0.333810 
711.718445 627.382141 0.680090 
705.771301 629.412231 0.651153 
678.359497 619.661682 0.751533 
 
697.974121 384.553955 0.899150 
695.961975 413.932587 0.822872 
696.043823 413.824219 0.922956 
733.247986 398.272797 0.869408 
711.675537 370.824646 0.845086 
692.034363 415.759918 0.695497 
729.233154 402.157928 0.352526 
711.731689 382.445709 0.429653 
695.970154 494.230621 0.772435 
695.968323 494.275787 0.797736 
711.637085 554.965637 0.899557 
682.343262 617.553345 0.827220 
695.946533 494.186371 0.709803 
713.616455 554.822754 0.844937 
