Starting OpenPose demo...
Configuring OpenPose...
Starting thread(s)...
Auto-detecting all available GPUs... Detected 1 GPU(s), using 1 of them starting at GPU 0.
364.855774 261.127594 0.845031 
308.124939 319.802124 0.852294 
325.747528 323.726166 0.798473 
306.215546 402.191681 0.861478 
366.904999 400.146027 0.880229 
292.411560 311.985321 0.689521 
306.162079 384.546021 0.246363 
360.951935 394.272827 0.461385 
219.910355 433.454620 0.660145 
231.682419 439.346344 0.636560 
321.761200 511.894653 0.836818 
243.368652 619.624573 0.736999 
204.233749 429.526520 0.572623 
286.522156 523.498657 0.780344 
196.376999 617.688354 0.745780 
353.112640 257.085541 0.923482 
0.000000 0.000000 0.000000 
327.689209 263.058868 0.828324 
0.000000 0.000000 0.000000 
221.860748 648.998108 0.403680 
214.089340 648.996216 0.317100 
178.806076 631.330933 0.717275 
282.640778 662.713196 0.718259 
272.784332 662.667542 0.651045 
227.750610 631.288086 0.556168 
 
364.855682 261.133484 0.841757 
308.124634 319.803711 0.853468 
325.751740 323.726227 0.798661 
306.218018 402.189514 0.860326 
366.906525 400.146545 0.878328 
292.409546 311.988464 0.690046 
308.083160 386.446411 0.245701 
360.963074 394.283936 0.466336 
219.902100 431.587738 0.664621 
231.654724 439.320343 0.639881 
321.754852 511.894653 0.835955 
243.365234 619.626892 0.737243 
204.237671 429.509766 0.573178 
286.523956 523.502136 0.779790 
196.379013 617.689209 0.745953 
353.114197 257.086670 0.921662 
0.000000 0.000000 0.000000 
327.692902 263.058258 0.828268 
0.000000 0.000000 0.000000 
221.862961 649.000488 0.400445 
214.092865 648.998596 0.313312 
178.807510 631.329651 0.717344 
282.640381 662.711243 0.717856 
272.781555 662.666931 0.650367 
227.747543 631.290588 0.555808 
 
351.246582 259.157349 0.917691 
302.150848 315.898590 0.810063 
317.892303 321.743927 0.835785 
310.074005 402.140869 0.800143 
368.874298 384.573212 0.747751 
284.548584 306.196472 0.734067 
311.986755 388.380585 0.348057 
366.803833 384.561035 0.526111 
216.050247 435.453094 0.653318 
227.835709 443.237366 0.670675 
317.822876 525.465820 0.852557 
227.805847 635.184387 0.805552 
202.307831 431.491425 0.556687 
286.487793 525.491943 0.806241 
196.491730 617.674072 0.753605 
341.399109 255.108444 0.845214 
0.000000 0.000000 0.000000 
319.791748 259.213715 0.904747 
0.000000 0.000000 0.000000 
274.702179 664.639526 0.080148 
0.000000 0.000000 0.000000 
182.742020 631.280518 0.712761 
276.738770 664.654358 0.794426 
263.029572 666.557800 0.756559 
212.154053 639.214172 0.722532 
 
337.509979 257.166046 0.908013 
288.544525 310.065552 0.863820 
308.076965 317.876099 0.829737 
321.709412 400.129578 0.909117 
368.888153 368.800873 0.827530 
268.871368 306.089813 0.786610 
312.005035 380.595337 0.327759 
355.132019 372.708557 0.411650 
216.038101 443.247375 0.678909 
229.755646 445.282928 0.687790 
315.922333 527.493591 0.823622 
227.731033 637.220886 0.805914 
200.319962 437.359192 0.582748 
276.770569 531.442566 0.764112 
200.360062 617.524170 0.757752 
333.474670 247.321777 0.830084 
0.000000 0.000000 0.000000 
306.159882 257.166290 0.935753 
0.000000 0.000000 0.000000 
227.732697 621.561279 0.059063 
0.000000 0.000000 0.000000 
188.570282 625.462585 0.685906 
274.750580 664.572876 0.821144 
261.040802 664.714539 0.813983 
212.044678 645.063171 0.761984 
 
325.722015 251.232285 0.827088 
274.842041 304.246368 0.897443 
302.153961 308.057465 0.824559 
333.488800 384.476868 0.842687 
370.805817 339.432800 0.734900 
255.181244 302.230103 0.788113 
310.062897 364.854523 0.365712 
368.775574 339.453033 0.392171 
219.936737 445.232666 0.692517 
235.570404 447.207520 0.682191 
317.875000 527.563843 0.829430 
227.731995 635.237732 0.811331 
202.303528 443.211853 0.591774 
282.581879 533.376526 0.762591 
200.303940 617.576660 0.752020 
319.763489 241.549728 0.918194 
0.000000 0.000000 0.000000 
292.460938 251.244476 0.850697 
0.000000 0.000000 0.000000 
272.817108 664.533997 0.079120 
0.000000 0.000000 0.000000 
184.650772 625.477966 0.678932 
274.756500 664.536926 0.810057 
261.052765 664.658630 0.805850 
212.095581 641.128662 0.720587 
 
315.925568 243.429581 0.865254 
266.943817 300.268982 0.826185 
292.442688 302.187531 0.820454 
341.352234 366.914398 0.832185 
366.841217 306.201385 0.799448 
241.514145 294.376190 0.802364 
290.440735 353.141022 0.330710 
321.763885 353.146423 0.229858 
223.850983 445.216003 0.701329 
241.461884 447.164001 0.711407 
319.777588 527.572632 0.832039 
227.772430 635.182556 0.798413 
204.224396 441.331055 0.611937 
280.636902 535.338562 0.757600 
200.370605 615.697021 0.745572 
306.069489 235.618301 0.841636 
0.000000 0.000000 0.000000 
282.591156 243.365768 0.886469 
0.000000 0.000000 0.000000 
227.793823 619.724854 0.060965 
0.000000 0.000000 0.000000 
186.591110 623.485229 0.672840 
274.776184 662.710388 0.795021 
261.099152 664.623169 0.780212 
212.098923 639.193176 0.709221 
 
315.920868 243.429306 0.865500 
266.942688 300.268921 0.825714 
292.442932 302.186951 0.819900 
339.507477 366.911713 0.832227 
366.842621 306.200653 0.799715 
241.514359 294.376862 0.802255 
290.436798 353.144897 0.332849 
321.770020 353.150543 0.231364 
223.850800 445.215546 0.702287 
241.460587 447.162537 0.710981 
319.774963 527.571106 0.832895 
227.770203 635.185181 0.797466 
204.226624 441.330719 0.612220 
278.745758 535.361633 0.760368 
200.371964 615.692078 0.743381 
306.067963 235.617065 0.842092 
0.000000 0.000000 0.000000 
282.592804 243.361435 0.887061 
0.000000 0.000000 0.000000 
227.792084 619.724243 0.061125 
0.000000 0.000000 0.000000 
186.588837 623.480103 0.671031 
274.781097 662.711487 0.794654 
261.100677 664.625122 0.779332 
212.096741 639.192810 0.706062 
 
304.216492 233.630157 0.868870 
259.055878 288.475739 0.938602 
288.430450 288.559235 0.861967 
351.262421 341.354858 0.859334 
361.002014 274.739899 0.738848 
231.690353 286.531128 0.781198 
302.211487 321.804443 0.324298 
347.221527 278.740082 0.564525 
225.823807 439.320160 0.676819 
241.538635 443.215210 0.674976 
319.768005 529.452942 0.826859 
227.779022 635.187012 0.803278 
208.147446 433.508392 0.595965 
276.780365 535.309631 0.764350 
200.370972 615.686951 0.744710 
294.398285 225.798050 0.861783 
0.000000 0.000000 0.000000 
272.782806 231.690094 0.860322 
0.000000 0.000000 0.000000 
227.738434 619.707397 0.054082 
0.000000 0.000000 0.000000 
188.537994 621.587524 0.666662 
274.788055 664.549133 0.791113 
261.075684 664.658325 0.780406 
212.088684 639.181396 0.685437 
 
290.448486 223.861938 0.907877 
255.176132 276.708435 0.873563 
280.654022 274.758179 0.833668 
357.033295 311.989685 0.804753 
351.151855 245.376266 0.791281 
227.742294 276.792389 0.812409 
304.159393 300.258026 0.294588 
323.793823 255.220703 0.738180 
229.693634 429.580536 0.704781 
247.338959 431.513763 0.665347 
317.880127 527.552979 0.825301 
227.743118 637.213867 0.811696 
210.188232 429.500031 0.641684 
274.835449 533.370422 0.772896 
202.306274 615.652466 0.749765 
284.591064 214.067078 0.870751 
0.000000 0.000000 0.000000 
259.216461 225.718750 0.906822 
0.000000 0.000000 0.000000 
227.842941 619.683044 0.070385 
0.000000 0.000000 0.000000 
190.554214 621.575500 0.687221 
274.778259 664.562317 0.808791 
261.041199 664.711731 0.815562 
212.046875 645.024353 0.745411 
 
282.619904 212.039871 0.697669 
247.316620 261.126801 0.814309 
272.824646 259.069305 0.841197 
359.048370 276.757660 0.804356 
335.458466 216.011139 0.802575 
225.857101 266.940613 0.751515 
304.140747 272.770050 0.326282 
313.967682 225.702713 0.712364 
235.597473 419.789886 0.650212 
249.279556 423.686005 0.626880 
308.097534 525.522461 0.840020 
227.691727 637.270142 0.798949 
219.901108 417.808472 0.589567 
274.808685 527.513794 0.799076 
198.410736 617.629150 0.766812 
274.815308 202.298462 0.763972 
0.000000 0.000000 0.000000 
255.170120 210.118866 0.882892 
0.000000 0.000000 0.000000 
227.660873 619.761841 0.063790 
0.000000 0.000000 0.000000 
186.594086 627.419128 0.674116 
274.749512 662.721558 0.818419 
261.033691 664.701599 0.834267 
212.015961 647.005310 0.786167 
 
272.861145 196.386078 0.844434 
243.378204 251.285614 0.861106 
270.822845 243.429108 0.800107 
355.099823 247.332001 0.811871 
317.855621 188.564224 0.746571 
219.919510 257.091309 0.773328 
306.136841 241.474014 0.312202 
304.155792 196.336288 0.632796 
241.510712 409.924866 0.656337 
259.055481 409.968933 0.631258 
302.237610 517.744690 0.794775 
225.847763 639.147095 0.799361 
223.845947 407.984650 0.584876 
270.849579 523.624207 0.812792 
198.365860 617.656860 0.754082 
264.953796 190.501083 0.785792 
0.000000 0.000000 0.000000 
245.409042 196.441040 0.910927 
0.000000 0.000000 0.000000 
225.893707 619.650085 0.079102 
217.930801 615.592468 0.056287 
184.689636 629.389893 0.665976 
274.755249 664.567078 0.830566 
261.040466 666.533447 0.825983 
210.198242 647.040039 0.812024 
 
272.859802 196.386200 0.844132 
243.375427 251.283035 0.860674 
270.827393 243.428604 0.801047 
355.100494 247.330002 0.812188 
317.853943 188.569183 0.748130 
219.904495 257.087524 0.771699 
306.134399 241.472794 0.313444 
304.154266 196.337250 0.631112 
241.509308 409.943024 0.659361 
259.070160 411.861877 0.633594 
302.231659 519.621216 0.795351 
225.853714 637.287415 0.800058 
223.832458 408.001190 0.587588 
270.840637 523.629333 0.814273 
198.371170 617.660278 0.753885 
264.952026 190.501404 0.785989 
0.000000 0.000000 0.000000 
245.408508 196.441177 0.910893 
0.000000 0.000000 0.000000 
225.893814 619.655090 0.076888 
217.929688 615.602234 0.054934 
184.689728 629.385498 0.663556 
274.758881 664.569153 0.829576 
261.043030 666.534973 0.824100 
210.196548 647.037781 0.809756 
 
270.800323 180.800766 0.812692 
241.495605 233.666748 0.858402 
268.904572 225.880417 0.801098 
351.245026 223.814072 0.871748 
306.067810 163.121307 0.774778 
214.051575 241.468079 0.785874 
296.328400 219.918259 0.315528 
292.451080 170.957458 0.587259 
243.396027 392.328705 0.651322 
259.065094 394.277832 0.628787 
292.400391 507.829681 0.805385 
225.837143 635.231201 0.801626 
225.827103 390.358185 0.566858 
268.918945 509.816010 0.781825 
196.496033 617.677551 0.749806 
259.113037 176.806854 0.825963 
0.000000 0.000000 0.000000 
241.405579 182.690536 0.897238 
0.000000 0.000000 0.000000 
251.249435 617.554993 0.076311 
0.000000 0.000000 0.000000 
182.748886 629.381653 0.651260 
274.821381 664.536499 0.798710 
261.117432 664.677734 0.793587 
210.198364 643.086853 0.745912 
 
264.972351 165.106476 0.834493 
241.392929 223.825653 0.875572 
265.009216 212.123337 0.777279 
351.093475 196.502243 0.852291 
300.238342 143.540085 0.730999 
212.151962 227.793625 0.796555 
292.416168 198.385452 0.304439 
290.514618 147.333633 0.439829 
245.387085 380.578735 0.644163 
263.006226 380.598389 0.618611 
288.399658 496.139709 0.815759 
227.808151 631.309265 0.775769 
227.753128 380.566895 0.591714 
259.185760 494.273560 0.809447 
196.461044 615.626648 0.735215 
257.082123 161.110626 0.837278 
0.000000 0.000000 0.000000 
239.445160 170.983734 0.850270 
0.000000 0.000000 0.000000 
274.835663 664.618347 0.067815 
0.000000 0.000000 0.000000 
182.757614 623.504089 0.663254 
276.719666 664.545288 0.805995 
264.953491 664.622437 0.773419 
214.038361 637.190125 0.719506 
 
261.046631 161.123535 0.820092 
237.581360 212.076920 0.854387 
266.913788 198.370682 0.780771 
347.227936 178.811905 0.858779 
306.109192 119.993126 0.773917 
210.191467 223.782181 0.788676 
288.536621 182.770935 0.594175 
288.502686 131.736923 0.848956 
243.501709 372.728607 0.639752 
263.066650 374.676025 0.597005 
274.844086 492.293671 0.786885 
231.719482 627.394287 0.725081 
225.798843 370.799194 0.608998 
253.198944 492.255341 0.803683 
200.337708 611.710571 0.718027 
255.183502 151.404968 0.815998 
0.000000 0.000000 0.000000 
233.648788 163.166428 0.910551 
0.000000 0.000000 0.000000 
274.876160 664.651489 0.076805 
0.000000 0.000000 0.000000 
190.545914 621.516602 0.701127 
276.752441 664.579529 0.812255 
266.916473 664.602844 0.756309 
219.891220 635.301025 0.707983 
 
263.024780 153.328995 0.866821 
235.578659 208.159103 0.848345 
261.056427 196.434952 0.808188 
339.431213 161.139603 0.868389 
319.768097 100.421257 0.885974 
210.102844 212.098083 0.819915 
264.984436 227.761093 0.076943 
0.000000 0.000000 0.000000 
243.418488 368.864197 0.673566 
261.108002 370.795135 0.626640 
272.902374 488.302216 0.757698 
241.369003 621.543823 0.766294 
225.738205 368.819183 0.630128 
243.522202 488.349670 0.791302 
