Starting OpenPose demo...
Configuring OpenPose...
Starting thread(s)...
Auto-detecting all available GPUs... Detected 1 GPU(s), using 1 of them starting at GPU 0.
767.138733 551.906738 0.914633 
817.122498 595.920532 0.817916 
811.343689 595.960266 0.779648 
834.872864 654.985046 0.380337 
787.627686 690.406860 0.203455 
828.871033 593.117004 0.852772 
840.742126 657.963684 0.868027 
787.522339 684.409485 0.886621 
867.188110 711.019592 0.761048 
861.297058 713.853149 0.783241 
855.493530 817.198608 0.844558 
935.102234 881.980164 0.901346 
878.929993 710.976135 0.785119 
840.710571 808.313171 0.880391 
840.654968 917.306030 0.844411 
0.000000 0.000000 0.000000 
775.862427 545.823486 0.814211 
0.000000 0.000000 0.000000 
802.404297 548.822021 0.883513 
790.707336 931.976196 0.775585 
811.093201 935.004639 0.803328 
855.432556 929.226929 0.854664 
934.987976 929.040100 0.826734 
931.970703 923.294678 0.832337 
952.805725 879.059875 0.815704 
 
767.139099 551.909607 0.914389 
817.122803 595.923767 0.817173 
811.346008 595.964844 0.778525 
834.880920 654.983398 0.377187 
787.654053 690.382263 0.195681 
828.867371 595.891602 0.851901 
840.748962 657.951233 0.867493 
787.528748 684.419556 0.886790 
864.413574 711.023254 0.761085 
861.293518 713.858948 0.784691 
855.490112 817.196899 0.844505 
935.099548 881.981140 0.902490 
878.932190 710.975952 0.785095 
840.712708 808.316772 0.879856 
840.652039 917.307922 0.844267 
0.000000 0.000000 0.000000 
775.863159 545.823914 0.813985 
0.000000 0.000000 0.000000 
802.403503 548.823059 0.883561 
790.711914 931.974487 0.774280 
811.093994 935.000732 0.803015 
855.429871 929.231445 0.853237 
934.989624 929.036743 0.827730 
931.970886 923.291809 0.833686 
952.801392 879.063049 0.815854 
 
766.930725 554.725342 0.905919 
814.202026 595.989685 0.815399 
811.217163 596.060425 0.726782 
831.867615 655.027283 0.302075 
770.032837 696.338501 0.243152 
820.040039 593.114014 0.860753 
837.935547 660.866760 0.882412 
784.626099 690.227783 0.870935 
864.288208 716.739929 0.774309 
861.229736 716.765259 0.770932 
849.510620 817.182800 0.823666 
929.012268 876.076233 0.840057 
873.111816 713.988098 0.793146 
837.660522 808.304077 0.918357 
840.728638 914.364502 0.836581 
0.000000 0.000000 0.000000 
770.034363 548.768372 0.848236 
0.000000 0.000000 0.000000 
796.503296 548.894226 0.896628 
790.668457 931.993408 0.782004 
811.101196 935.027039 0.801777 
858.238403 929.153198 0.826380 
929.191467 929.035583 0.796173 
926.136902 920.351379 0.739816 
940.924011 867.221375 0.758093 
 
766.930725 554.725342 0.905919 
814.202026 595.989685 0.815399 
811.217163 596.060425 0.726782 
831.867615 655.027283 0.302075 
770.032837 696.338501 0.243152 
820.040039 593.114014 0.860753 
837.935547 660.866760 0.882412 
784.626099 690.227783 0.870935 
864.288208 716.739929 0.774309 
861.229736 716.765259 0.770932 
849.510620 817.182800 0.823666 
929.012268 876.076233 0.840057 
873.111816 713.988098 0.793146 
837.660522 808.304077 0.918357 
840.728638 914.364502 0.836581 
0.000000 0.000000 0.000000 
770.034363 548.768372 0.848236 
0.000000 0.000000 0.000000 
796.503296 548.894226 0.896628 
790.668457 931.993408 0.782004 
811.101196 935.027039 0.801777 
858.238403 929.153198 0.826380 
929.191467 929.035583 0.796173 
926.136902 920.351379 0.739816 
940.924011 867.221375 0.758093 
 
758.138916 554.898315 0.846517 
808.174866 601.862244 0.827045 
790.667847 601.846558 0.754243 
820.050659 666.695679 0.241984 
772.953674 699.250854 0.157892 
814.284180 601.906799 0.939394 
837.862061 669.617065 0.951288 
781.771179 696.361633 0.879211 
858.291382 719.717590 0.843913 
840.742554 719.750305 0.789564 
811.096252 814.325500 0.852982 
899.690735 867.251282 0.805323 
864.324646 719.740295 0.854683 
817.078247 811.100403 0.901756 
840.689148 917.369934 0.791942 
0.000000 0.000000 0.000000 
764.004333 551.722534 0.909502 
0.000000 0.000000 0.000000 
787.586853 554.704041 0.966927 
790.683655 932.120483 0.760398 
811.113098 937.949463 0.766687 
855.497559 929.238342 0.775019 
884.918213 908.499634 0.673738 
884.983521 905.411560 0.574634 
914.484253 867.227051 0.771307 
 
758.142029 554.908203 0.843407 
808.174438 601.861389 0.827053 
790.666504 601.846497 0.754625 
820.040710 666.703369 0.245845 
772.961304 699.264587 0.158666 
814.284119 601.905945 0.939276 
837.862793 669.616455 0.950935 
781.775452 696.364197 0.879798 
858.288147 719.714355 0.843524 
840.738953 719.747131 0.789855 
811.101440 814.321716 0.854502 
899.704224 867.260803 0.803634 
864.320984 719.736694 0.854945 
817.075806 811.093994 0.900764 
840.689331 917.368225 0.792230 
0.000000 0.000000 0.000000 
764.005371 551.730652 0.909339 
0.000000 0.000000 0.000000 
787.588928 554.707092 0.966806 
790.683289 932.122192 0.759017 
811.111023 937.949829 0.765408 
855.498230 929.235107 0.774937 
884.937195 908.516541 0.675901 
885.001770 905.429810 0.578198 
917.327637 867.232117 0.770527 
 
746.428406 572.359985 0.808743 
799.391724 604.970459 0.789242 
787.621765 610.739868 0.760562 
814.105713 672.698120 0.229395 
769.945923 713.913025 0.197980 
814.098694 602.044189 0.926442 
837.906311 669.828064 0.973168 
781.779663 702.098816 0.860913 
843.676453 722.761292 0.789582 
834.705322 722.803223 0.783885 
787.655884 811.276306 0.932044 
879.018311 867.278320 0.800383 
861.252808 722.736267 0.852584 
811.354431 808.280029 0.903340 
837.902466 911.569092 0.810706 
0.000000 0.000000 0.000000 
758.099304 554.845947 0.823205 
0.000000 0.000000 0.000000 
784.622498 557.729675 0.895092 
793.515503 932.068359 0.750632 
811.222656 935.125732 0.729432 
858.286987 929.135925 0.707614 
864.295715 905.564941 0.488711 
867.214111 899.609314 0.371845 
893.788147 864.348877 0.782650 
 
746.428406 572.359985 0.808743 
799.391724 604.970459 0.789242 
787.621765 610.739868 0.760562 
814.105713 672.698120 0.229395 
769.945923 713.913025 0.197980 
814.098694 602.044189 0.926442 
837.906311 669.828064 0.973168 
781.779663 702.098816 0.860913 
843.676453 722.761292 0.789582 
834.705322 722.803223 0.783885 
787.655884 811.276306 0.932044 
879.018311 867.278320 0.800383 
861.252808 722.736267 0.852584 
811.354431 808.280029 0.903340 
837.902466 911.569092 0.810706 
0.000000 0.000000 0.000000 
758.099304 554.845947 0.823205 
0.000000 0.000000 0.000000 
784.622498 557.729675 0.895092 
793.515503 932.068359 0.750632 
811.222656 935.125732 0.729432 
858.286987 929.135925 0.707614 
864.295715 905.564941 0.488711 
867.214111 899.609314 0.371845 
893.788147 864.348877 0.782650 
 
743.504700 572.349731 0.883462 
796.450195 607.781250 0.787897 
787.625793 610.779785 0.752520 
811.318909 672.785217 0.312936 
769.984802 710.958862 0.251565 
811.205994 604.806641 0.919504 
837.835449 672.541321 0.992727 
781.786743 705.097290 0.854258 
837.911377 722.812622 0.825993 
828.853394 722.837585 0.770535 
784.643921 811.203674 0.895411 
864.283020 870.232544 0.799892 
858.392761 722.759277 0.840952 
811.319824 811.154663 0.937719 
843.606750 914.482727 0.779503 
0.000000 0.000000 0.000000 
749.391296 554.864441 0.857767 
0.000000 0.000000 0.000000 
781.753662 557.676453 0.888788 
796.543640 929.265808 0.771522 
814.115601 935.081543 0.726062 
858.495789 929.200195 0.760571 
855.439575 905.630554 0.370028 
852.503418 902.559631 0.287251 
884.871033 867.243408 0.705906 
 
743.506042 572.347046 0.883134 
796.459290 607.794006 0.788313 
787.629700 610.776550 0.756503 
811.322510 672.784729 0.322675 
770.000000 710.987732 0.254204 
811.217407 604.833862 0.919225 
837.830994 672.547363 0.991821 
781.770203 705.081360 0.853107 
837.916504 722.809875 0.825337 
828.859924 722.830811 0.771934 
784.628784 811.208862 0.891168 
864.269714 870.241638 0.801382 
858.397827 722.762268 0.840529 
811.317383 811.155273 0.936344 
843.606262 914.481995 0.780966 
0.000000 0.000000 0.000000 
752.206360 554.858643 0.857982 
0.000000 0.000000 0.000000 
781.758606 557.678833 0.889249 
796.541870 929.260254 0.771800 
814.114868 935.075806 0.727850 
858.493530 929.197510 0.764566 
855.423828 905.637756 0.367854 
852.481750 902.568481 0.285860 
884.852173 867.251587 0.707422 
 
740.603455 572.326050 0.882371 
790.461182 616.603577 0.870019 
770.047119 619.616272 0.794856 
796.493835 675.706543 0.356724 
749.327148 716.781067 0.375863 
808.183899 607.857300 0.842702 
834.702820 675.592896 0.944829 
767.035645 705.044678 0.878971 
834.868652 722.807129 0.842400 
817.084290 722.801025 0.785174 
766.994263 811.144409 0.921081 
817.203064 905.466614 0.788848 
855.340210 722.854126 0.801421 
790.675232 811.061401 0.880838 
837.892029 911.519409 0.818130 
0.000000 0.000000 0.000000 
746.440063 557.637878 0.856221 
0.000000 0.000000 0.000000 
770.054443 560.694397 0.850038 
805.291321 932.226379 0.679694 
817.081970 937.984863 0.675161 
858.279785 926.229004 0.801527 
787.651917 926.155945 0.666000 
787.689514 914.466980 0.608539 
834.788086 908.440613 0.333444 
 
740.603455 572.326050 0.882371 
790.461182 616.603577 0.870019 
770.047119 619.616272 0.794856 
796.493835 675.706543 0.356724 
749.327148 716.781067 0.375863 
808.183899 607.857300 0.842702 
834.702820 675.592896 0.944829 
767.035645 705.044678 0.878971 
834.868652 722.807129 0.842400 
817.084290 722.801025 0.785174 
766.994263 811.144409 0.921081 
817.203064 905.466614 0.788848 
855.340210 722.854126 0.801421 
790.675232 811.061401 0.880838 
837.892029 911.519409 0.818130 
0.000000 0.000000 0.000000 
746.440063 557.637878 0.856221 
0.000000 0.000000 0.000000 
770.054443 560.694397 0.850038 
805.291321 932.226379 0.679694 
817.081970 937.984863 0.675161 
858.279785 926.229004 0.801527 
787.651917 926.155945 0.666000 
787.689514 914.466980 0.608539 
834.788086 908.440613 0.333444 
 
740.535156 572.446045 0.905492 
787.595215 619.656555 0.901617 
767.029480 622.505432 0.839786 
790.656677 678.587402 0.293291 
746.357483 713.963928 0.216227 
802.406433 616.673706 0.836737 
825.984253 675.719971 0.871591 
763.917236 699.137085 0.909558 
828.945007 728.728638 0.791801 
811.194519 728.738403 0.800252 
764.065430 814.101440 0.949912 
799.405457 908.495056 0.872334 
843.705444 731.594849 0.776326 
790.578308 814.119568 0.941378 
840.801758 911.583069 0.833659 
0.000000 0.000000 0.000000 
746.351257 557.781982 0.854404 
0.000000 0.000000 0.000000 
769.982910 569.454102 0.869801 
828.931335 943.905334 0.646860 
843.626587 943.844299 0.655015 
858.278625 926.125793 0.767701 
767.097412 932.092896 0.741302 
767.030945 929.008789 0.734799 
811.264221 911.561279 0.785093 
 
740.536987 572.450928 0.905674 
787.595581 619.653870 0.901176 
767.025818 622.500366 0.839805 
790.646240 678.573792 0.282024 
746.341736 713.961975 0.210681 
802.415344 616.670288 0.837063 
825.980469 675.719666 0.871444 
763.920105 696.421753 0.912045 
828.940979 728.716431 0.792542 
811.188843 728.728760 0.800590 
764.066467 814.102478 0.950894 
799.398071 908.498108 0.873889 
843.706970 731.581238 0.775532 
790.576965 814.111084 0.942201 
840.799805 911.577942 0.835202 
0.000000 0.000000 0.000000 
746.351807 557.787781 0.853110 
0.000000 0.000000 0.000000 
769.981445 569.453918 0.869707 
831.778564 943.921143 0.653875 
843.656006 943.841614 0.659537 
858.272400 926.117432 0.768159 
767.092224 932.090759 0.743034 
767.023926 929.006897 0.737175 
811.259521 911.562439 0.788358 
 
740.534058 572.449280 0.904919 
787.489868 622.424744 0.886404 
766.971863 622.586792 0.848184 
784.630676 678.521240 0.339403 
731.650330 708.020386 0.317389 
799.425720 619.583801 0.855640 
814.057922 684.505127 0.898847 
740.472595 690.385925 0.898734 
817.165344 734.557068 0.818506 
802.431091 731.655579 0.775490 
746.454224 814.147522 0.896728 
802.377930 908.592834 0.869274 
837.718384 737.432861 0.840371 
787.540771 814.242249 0.937256 
837.828125 911.454651 0.865201 
0.000000 0.000000 0.000000 
746.371460 557.797363 0.848437 
0.000000 0.000000 0.000000 
770.065918 569.525208 0.862327 
817.166260 943.852234 0.670323 
834.889526 940.921204 0.674885 
852.500000 920.316895 0.745437 
770.007751 935.038818 0.665970 
769.932434 929.244019 0.669656 
814.075256 914.430176 0.712350 
 
740.534058 572.449280 0.904919 
787.489868 622.424744 0.886404 
766.971863 622.586792 0.848184 
784.630676 678.521240 0.339403 
731.650330 708.020386 0.317389 
799.425720 619.583801 0.855640 
814.057922 684.505127 0.898847 
740.472595 690.385925 0.898734 
817.165344 734.557068 0.818506 
802.431091 731.655579 0.775490 
746.454224 814.147522 0.896728 
802.377930 908.592834 0.869274 
837.718384 737.432861 0.840371 
787.540771 814.242249 0.937256 
