Starting OpenPose demo...
Configuring OpenPose...
Starting thread(s)...
Auto-detecting all available GPUs... Detected 1 GPU(s), using 1 of them starting at GPU 0.
695.221069 621.672058 0.959679 
671.425476 668.484558 0.872931 
662.657654 656.793762 0.853787 
665.601868 701.020142 0.865067 
712.771667 695.204224 0.939148 
677.412170 671.540527 0.806348 
698.121826 736.213440 0.837382 
736.360474 718.540222 0.797945 
665.594849 783.369812 0.831486 
648.041870 780.435120 0.832707 
651.064697 859.830872 0.930563 
586.212280 930.710205 0.861347 
671.625366 786.188721 0.869360 
668.664917 862.960083 0.886113 
650.917053 954.040344 0.910211 
692.092224 618.597778 0.908351 
695.219666 621.394653 0.281305 
668.640442 621.646729 0.972420 
0.000000 0.000000 0.000000 
692.107910 971.804749 0.849950 
689.179321 965.846497 0.746883 
644.987732 960.004883 0.840428 
606.787598 968.794800 0.826391 
597.928528 962.892090 0.839031 
574.457031 933.573608 0.866480 
 
695.147278 621.641968 0.985366 
668.647339 665.690735 0.863397 
656.909973 653.962341 0.838720 
668.450378 701.049316 0.895818 
709.855408 694.963379 0.929325 
674.519348 668.697815 0.847156 
692.216553 733.386780 0.873187 
733.388550 718.663574 0.810204 
659.794006 786.189148 0.811485 
647.936096 783.356995 0.851145 
648.043335 859.887817 0.944888 
580.314819 936.443420 0.855650 
671.447144 786.251465 0.872590 
668.680603 862.935974 0.887194 
651.052185 954.017517 0.883795 
692.013916 618.550293 0.901336 
695.208130 618.622009 0.464239 
668.552063 621.577209 0.948011 
0.000000 0.000000 0.000000 
692.077637 971.805603 0.834484 
689.223633 965.865295 0.751538 
645.075989 959.953064 0.823981 
603.916626 968.787415 0.826591 
595.042786 965.830444 0.804636 
571.546082 942.345337 0.828036 
 
695.154602 621.656616 0.991529 
668.659302 665.700378 0.884137 
656.847778 653.981262 0.841014 
668.558289 701.016968 0.913729 
709.843506 692.188171 0.917578 
674.613220 668.689575 0.843822 
692.081055 736.200256 0.874183 
733.336365 718.586731 0.817217 
653.912537 786.240784 0.804792 
645.124634 783.428223 0.838917 
647.916565 859.994507 0.878400 
577.526245 939.417786 0.840378 
668.600525 786.320374 0.847406 
671.457031 862.905457 0.875957 
651.024536 954.000916 0.881151 
692.018555 618.557617 0.905517 
695.227966 618.615295 0.520396 
668.534668 621.557922 0.940421 
0.000000 0.000000 0.000000 
692.050354 971.799377 0.831041 
689.184448 965.883423 0.747078 
645.023926 957.141174 0.818986 
603.845093 968.854248 0.817180 
594.971985 965.919800 0.767092 
571.524048 945.334473 0.797253 
 
695.037842 624.437073 1.000350 
668.635010 668.644897 0.917401 
653.876709 662.706421 0.855038 
668.716553 706.901184 0.916327 
709.830566 686.249084 0.869958 
677.520325 671.581726 0.828428 
694.986389 736.251953 0.917473 
733.332214 715.597595 0.816106 
656.845703 786.398865 0.852440 
644.996033 786.288025 0.874233 
639.205078 862.877319 0.862528 
577.247803 951.014648 0.927317 
671.532410 786.475037 0.904457 
689.229370 860.063171 0.925859 
656.853760 951.242310 0.873212 
689.241943 621.416870 0.922472 
695.128235 621.529785 0.483148 
668.475403 624.367615 0.917362 
0.000000 0.000000 0.000000 
692.119507 971.790649 0.852048 
691.985779 965.873291 0.767590 
645.116333 957.046143 0.861930 
601.059265 971.789856 0.909081 
594.926575 971.820923 0.833606 
565.574951 951.225525 0.861691 
 
695.080261 624.505188 0.998501 
668.738037 668.714905 0.930233 
653.914307 665.584412 0.868663 
671.650391 706.880859 0.909353 
715.547668 680.405823 0.869286 
686.231262 674.461060 0.811643 
695.159973 736.247192 0.919010 
733.338318 712.659790 0.778550 
656.857422 786.412415 0.852289 
644.988892 786.306091 0.879058 
636.217957 862.889221 0.861885 
574.488403 951.148926 0.952542 
671.547363 789.174072 0.896242 
692.135620 862.920349 0.960264 
656.900940 951.221436 0.873448 
689.238403 621.495911 0.939670 
695.148193 621.549683 0.669982 
668.467407 624.496399 0.923679 
0.000000 0.000000 0.000000 
692.080872 971.792175 0.846143 
689.247253 965.897583 0.764870 
645.142090 957.006958 0.878297 
600.991821 971.757507 0.882081 
592.129700 974.562744 0.808661 
562.608154 954.064941 0.858168 
 
695.098816 624.601685 0.979981 
671.459045 671.541992 0.931361 
653.932495 668.457092 0.892911 
677.410767 706.930908 0.845062 
715.689880 677.495850 0.870870 
686.301575 677.467102 0.786109 
697.994995 736.196899 0.880897 
733.411926 706.843384 0.744449 
653.902771 789.242432 0.867208 
642.119202 786.463440 0.877587 
630.401794 865.778259 0.856197 
574.508362 951.199219 0.958846 
671.494141 789.327637 0.902135 
692.284668 862.865234 0.965438 
659.841492 951.130615 0.872782 
689.223083 621.585022 0.939613 
695.167664 621.652405 0.686393 
668.441406 624.640686 0.899875 
0.000000 0.000000 0.000000 
692.113220 971.763733 0.845823 
692.002686 965.858154 0.770551 
645.194946 954.177124 0.885587 
601.035706 971.721985 0.860572 
595.026123 974.561584 0.823564 
559.782043 954.139526 0.874558 
 
695.232239 627.371338 0.938628 
671.438782 671.515259 0.909825 
656.827148 665.707703 0.879398 
689.225586 712.677979 0.867073 
718.599365 674.565796 0.865481 
680.373108 674.545166 0.780423 
700.956787 733.383545 0.832635 
736.270874 701.041199 0.758150 
656.803894 789.286499 0.852580 
642.168884 789.216492 0.878283 
624.575378 871.706116 0.866447 
574.534180 951.269226 0.960991 
671.579468 789.357056 0.884513 
700.968628 860.065308 0.885478 
665.667053 948.117310 0.870378 
692.058167 621.644104 0.959675 
698.044312 624.380371 0.544664 
668.557983 627.380432 0.923368 
0.000000 0.000000 0.000000 
692.192139 971.671021 0.834780 
692.071045 962.913208 0.787165 
648.044189 951.106079 0.865399 
601.048523 971.690063 0.869762 
595.050415 974.554260 0.855060 
562.640930 954.233398 0.874311 
 
701.005188 627.437805 0.890243 
671.454224 668.734680 0.918565 
659.740356 665.730957 0.869985 
695.089661 715.770020 0.932950 
718.813599 680.347229 0.784796 
677.497620 671.632568 0.799680 
701.062744 730.456909 0.759420 
736.281067 695.272156 0.794507 
653.944092 789.406860 0.841082 
642.149841 789.399963 0.851951 
624.462036 871.742920 0.876129 
574.463318 953.981812 0.960429 
671.536133 789.392578 0.884048 
706.898315 856.927612 0.902326 
671.492310 936.473083 0.901377 
695.074280 621.649475 0.966748 
703.966919 624.438599 0.298934 
671.599609 624.592896 0.942843 
0.000000 0.000000 0.000000 
695.059082 971.697327 0.859010 
695.086243 960.053833 0.815567 
656.874573 945.270142 0.794916 
600.999268 971.678284 0.859138 
594.975769 974.583130 0.846308 
559.732910 957.001770 0.857705 
 
712.687134 624.593140 0.925220 
674.503540 668.652527 0.903470 
665.569824 665.691467 0.884890 
695.264465 718.553589 0.899754 
727.520935 689.225281 0.700420 
692.094849 671.554016 0.843416 
709.767822 730.471558 0.738951 
739.191589 695.115601 0.804057 
659.736755 789.403137 0.835791 
642.143005 789.408691 0.846657 
624.511719 871.653748 0.859517 
574.508545 951.267944 0.963802 
674.458557 789.375183 0.865672 
709.822083 854.010925 0.882770 
674.465088 936.521118 0.869983 
698.047546 621.541809 0.958995 
712.725037 621.587891 0.362923 
674.557556 624.525085 0.920451 
0.000000 0.000000 0.000000 
701.066528 968.768311 0.756924 
703.915039 957.127136 0.736745 
665.600464 948.208557 0.814182 
601.030945 971.678833 0.868795 
594.956360 974.570190 0.840692 
562.608704 954.207397 0.856985 
 
715.579712 627.375916 0.917853 
680.345276 668.528564 0.859776 
668.576782 659.765991 0.906022 
689.216309 709.754395 0.869129 
718.701477 674.453369 0.923202 
692.261536 671.587891 0.820518 
703.964294 730.472351 0.806939 
739.134827 698.149231 0.785833 
662.661560 786.329590 0.853206 
645.028870 786.276550 0.873289 
627.388672 868.804260 0.842750 
577.257080 951.165344 0.950622 
674.475769 786.342102 0.871607 
709.752014 854.032837 0.879272 
683.283936 945.217407 0.829491 
706.916260 621.533569 0.909503 
715.755493 624.507080 0.353358 
686.270630 621.620544 0.894468 
0.000000 0.000000 0.000000 
715.672791 968.792419 0.864656 
715.653076 957.109253 0.839163 
668.702576 951.121704 0.870257 
603.823364 971.782043 0.895518 
592.118591 974.600464 0.848196 
565.590393 954.024719 0.867138 
 
718.665894 624.537659 0.961431 
689.099548 665.700378 0.836318 
671.546509 653.945007 0.919410 
686.327942 703.972534 0.855384 
718.818542 677.445679 0.878550 
695.073303 671.442444 0.855012 
698.113098 730.455688 0.825662 
739.159790 706.828369 0.786075 
662.781982 780.396057 0.818996 
645.127075 777.470398 0.835436 
642.144714 860.030273 0.893013 
580.392212 945.274475 0.841015 
674.590515 780.457825 0.823277 
703.972229 853.964478 0.869815 
692.016235 945.285034 0.895868 
715.663452 621.366699 0.927099 
721.575623 621.663696 0.186708 
692.128174 621.443604 0.947877 
0.000000 0.000000 0.000000 
721.650208 965.852966 0.819201 
721.556458 954.261597 0.828004 
674.463867 953.982849 0.876440 
603.867126 971.828369 0.915660 
592.136841 971.729614 0.853336 
574.402771 948.179810 0.864394 
 
727.431580 624.473022 0.907864 
692.115173 665.589783 0.848417 
677.457825 651.006714 0.880589 
683.338379 700.973511 0.855619 
724.519836 689.114380 0.886510 
695.215515 668.688782 0.834142 
703.960449 733.335266 0.786517 
742.100098 712.745300 0.779365 
662.700195 777.501404 0.811943 
645.130798 774.589294 0.837729 
648.086548 859.949097 0.944113 
592.065735 930.707642 0.877377 
674.455811 777.547119 0.829223 
701.048584 854.023315 0.881593 
692.296570 948.221680 0.942373 
718.772400 618.622559 0.918582 
721.702576 621.553040 0.050351 
695.253662 621.420654 0.944757 
0.000000 0.000000 0.000000 
733.387451 965.847107 0.801079 
733.309326 957.000854 0.794649 
683.271729 954.186218 0.860903 
603.900269 971.775024 0.931247 
594.960754 965.896057 0.872702 
577.395752 933.464172 0.871810 
 
736.313782 624.462463 0.945038 
695.171021 665.617188 0.860006 
689.217651 653.887146 0.905513 
683.351257 701.008667 0.832080 
730.398315 692.266785 0.914087 
709.769897 668.715820 0.791219 
715.731262 730.391663 0.712663 
745.119324 718.556030 0.673272 
665.587036 771.660156 0.823835 
647.903931 768.802063 0.852516 
665.719666 856.914734 0.932979 
600.848206 930.518494 0.970380 
674.560547 774.532837 0.816811 
700.959351 854.002502 0.895190 
695.009216 951.001282 0.948362 
724.536194 621.363037 0.896908 
736.285278 621.409241 0.216396 
700.999939 621.530090 0.926804 
0.000000 0.000000 0.000000 
730.462769 968.753357 0.796030 
730.445190 957.091553 0.770228 
683.294373 954.196655 0.855504 
615.614807 971.746948 0.867628 
600.799561 960.079041 0.910067 
589.126526 930.537720 0.864911 
 
739.291077 624.640259 0.968165 
700.964233 668.635437 0.875910 
692.161499 662.695862 0.919529 
683.330383 712.791199 0.862871 
724.591553 706.898865 0.851223 
715.602234 671.705505 0.852876 
727.469727 736.355530 0.680388 
753.937317 721.633911 0.669519 
668.461304 780.471252 0.855647 
648.095520 777.497864 0.838569 
671.649292 856.950317 0.957214 
609.709229 927.636047 0.892652 
677.417480 783.333557 0.830887 
698.099792 856.992065 0.906488 
692.218384 953.978638 0.955332 
733.313477 621.578735 0.914224 
739.340942 621.656555 0.631765 
709.820068 624.543091 0.899243 
0.000000 0.000000 0.000000 
727.443542 971.741455 0.792095 
724.528809 962.917725 0.728358 
677.433960 960.040100 0.834871 
624.590637 968.819824 0.874605 
612.718079 959.989807 0.824443 
598.014404 927.621582 0.898089 
 
742.308777 639.140564 0.908690 
709.865601 671.701477 0.866730 
695.060547 668.489624 0.976716 
677.465820 715.808289 0.912513 
727.529602 718.541748 0.900108 
718.676208 686.226562 0.876907 
724.566895 745.188965 0.740442 
748.059570 739.325378 0.723221 
668.615479 780.494202 0.883946 
650.917725 777.500061 0.827023 
686.290771 857.057129 0.941711 
621.603210 927.752563 0.956100 
683.337158 783.431396 0.832882 
703.952759 859.900574 0.898497 
692.070618 954.103210 0.956072 
739.228516 624.611084 0.943921 
745.116089 627.469055 0.403044 
715.683167 630.325500 0.904490 
0.000000 0.000000 0.000000 
721.658203 974.643555 0.833525 
721.547974 968.813538 0.747982 
671.734253 962.907471 0.862204 
644.959473 968.776001 0.818040 
624.552979 959.980103 0.852618 
606.828735 930.483582 0.861979 
 
748.126648 647.886597 0.933257 
712.772827 683.341064 0.843504 
698.018372 674.450562 0.914576 
674.593140 721.684875 0.884247 
724.604736 733.389832 0.859647 
718.642700 689.271667 0.871709 
718.752991 756.898438 0.739294 
745.125427 750.990723 0.680394 
668.504517 783.328369 0.862067 
650.973022 780.496094 0.823744 
694.989990 856.880798 0.938479 
630.379456 930.696533 0.875142 
674.556152 783.389221 0.841592 
715.545959 859.956909 0.933945 
